drug_id,drug_name,smiles
2210,CID 118984461,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=S)(O)O[C@H]3C[C@@H](O[C@@H]3COP(=S)(O)O[C@H]4C[C@@H](O[C@@H]4COP(=S)(O)O[C@H]5C[C@@H](O[C@@H]5COP(=S)(O)O[C@H]6C[C@@H](O[C@@H]6COP(=S)(O)O[C@H]7C[C@@H](O[C@@H]7COP(=S)(O)O[C@H]8C[C@@H](O[C@@H]8COP(=S)(O)O[C@H]9C[C@@H](O[C@@H]9COP(=S)(O)O[C@H]1C[C@@H](O[C@@H]1COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=O)NC1=O)C)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=NC2=C1N=C(NC2=O)N)CO)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=C(C(=NC1=O)N)C)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=NC1=O)N)C)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=NC1=O)N)C)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=O)(OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)O)S
2211,Chlophedianol,CN(C)CCC(C1=CC=CC=C1)(C2=CC=CC=C2Cl)O
2212,"(2R,4S)-Ketoconazole",CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@H]3CO[C@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
2213,"med.21724, Compound Benztropine",CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
2214,Ethylenediaminetetraacetic Acid,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
2215,Gestodene,CC[C@]12CC[C@H]3[C@H]([C@@H]1C=C[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34
2216,Pyrilamine,CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2
2217,Desitin,O=[Zn]
2218,Desogestrel,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34
2219,"N-((1R,2R)-2-(2,3-Dihydro-1,4-benzodioxin-6-yl)-2-hydroxy-1-(1-pyrrolidinylmethyl)ethyl)octanamide",CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](C2=CC3=C(C=C2)OCCO3)O
2220,"(1R,2S)-Tranylcypromine",C1[C@H]([C@@H]1N)C2=CC=CC=C2
2221,"4-(Dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-3,4,4a,5,5a,6,12,12a-octahydrotetracene-2-carboximidic acid",C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
2222,"Ibuprofen, (+-)-",CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
2223,Terramycin,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O
2224,Magaldrate (USAN:USP:INN:BAN),[OH-].[O-]S(=O)(=O)[O-].[Mg+2].[Al+3]
2225,Atorvastatin Calcium,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]
2226,"6,7-Dichloro-3-hydroxy-1,5 dihydro-imidazo(2,1-b)quinazolin-2-one",C1C2=C(C=CC(=C2Cl)Cl)N=C3N1C(C(=O)N3)O
2227,"(3aR,4R,5R,7S,8S,9R,9aS,12R)-8-hydroxy-4,7,9,12-tetramethyl-3-oxo-7-vinyldecahydro-4,9a-propanocyclopenta[8]annulen-5-yl 2-(((1R,2R,4R)-4-amino-2-hydroxycyclohexyl)thio)acetate",C[C@@H]1CC[C@@]23CCC(=O)[C@H]2[C@@]1([C@@H](C[C@@]([C@H]([C@@H]3C)O)(C)C=C)OC(=O)CS[C@@H]4CC[C@H](C[C@H]4O)N)C
2228,Propoxyphene,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C
2229,Reboxetine,CCOC1=CC=CC=C1O[C@@H]([C@H]2CNCCO2)C3=CC=CC=C3
2230,"(2S,4S)-4-cyclohexyl-1-[2-[(2-methyl-1-propanoyloxypropoxy)-(4-phenylbutyl)phosphoryl]acetyl]pyrrolidine-2-carboxylic acid",CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3
2231,(+-)-Chlorpheniramine,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
2232,Ethylene Glycol,C(CO)O
2233,Dihydralazine,C1=CC=C2C(=C1)C(=NN=C2NN)NN
