0	(R)-Warfarin
1	(S)-Warfarin
2	Abacavir
3	Abaloparatide
4	Abciximab
5	Abemaciclib
6	Abiraterone
7	Abrocitinib
8	Acalabrutinib
9	Acamprosate
10	Acarbose
11	Acebutolol
12	Aceclofenac
13	Acenocoumarol
14	Acepromazine
15	Acetaminophen
16	Acetazolamide
17	Acetohexamide
18	Acetohydroxamic Acid
19	Acetylsalicylic Acid
20	Acitretin
21	Activated Charcoal
22	Acyclovir
23	Adagrasib
24	Adefovir Dipivoxil
25	Adenosine
26	Afatinib
27	Albendazole
28	Alcloxa
29	Alectinib
30	Alendronic Acid
31	Alfacalcidol
32	Alfuzosin
33	Alimemazine
34	Aliskiren
35	Alitretinoin
36	Allopurinol
37	Almasilate
38	Almotriptan
39	Alogliptin
40	Alosetron
41	Alpelisib
42	Alprazolam
43	Alteplase
44	Altretamine
45	Aluminum Hydroxide
46	Alvimopan
47	Amantadine
48	Amediplase
49	Amifampridine
50	Amiloride
51	Amineptine
52	Aminocaproic Acid
53	Aminoglutethimide
54	Aminophylline
55	Aminosalicylic Acid
56	Amiodarone
57	Amisulpride
58	Amitriptyline
59	Amlodipine
60	Amobarbital
61	Amoxapine
62	Amoxicillin
63	Amphetamine
64	Ampicillin
65	Amprenavir
66	Amyl Nitrite
67	Anagrelide
68	Anastrozole
69	Ancrod
70	Anethole Trithione
71	Anileridine
72	Anistreplase
73	Antipyrine
74	Antithrombin Alfa
75	Antithrombin Iii Human
76	Apalutamide
77	Apixaban
78	Apomorphine
79	Apremilast
80	Aprepitant
81	Aprocitentan
82	Ardeparin
83	Argatroban
84	Arimoclomol
85	Aripiprazole
86	Armodafinil
87	Artemether
88	Asciminib
89	Ascorbic Acid
90	Asenapine
91	Astemizole
92	Asunaprevir
93	Atazanavir
94	Atogepant
95	Atomoxetine
96	Atorvastatin
97	Atovaquone
98	Atropine
99	Attapulgite
100	Auranofin
101	Avacopan
102	Avanafil
103	Avapritinib
104	Avatrombopag
105	Avelumab
106	Axitinib
107	Azatadine
108	Azathioprine
109	Azelaic Acid
110	Azelastine
111	Azilsartan Medoxomil
112	Azithromycin
113	Bacampicillin
114	Baclofen
115	Baloxavir Marboxil
116	Balsalazide
117	Baricitinib
118	Bazedoxifene
119	Bedaquiline
120	Belumosudil
121	Belzutifan
122	Bemiparin
123	Bempedoic Acid
124	Benazepril
125	Bendroflumethiazide
126	Benserazide
127	Benzatropine
128	Benzgalantamine
129	Benzhydrocodone
130	Benznidazole
131	Benzonatate
132	Benzphetamine
133	Bepotastine
134	Bepridil
135	Beraprost
136	Berotralstat
137	Betahistine
138	Betaine
139	Betaxolol
140	Bethanechol
141	Betrixaban
142	Bexagliflozin
143	Bexarotene
144	Bezafibrate
145	Bicalutamide
146	Bictegravir
147	Bilastine
148	Binimetinib
149	Biotin
150	Biperiden
151	Bisacodyl
152	Bismuth Subcitrate Potassium
153	Bisoprolol
154	Bivalirudin
155	Boceprevir
156	Bortezomib
157	Bosentan
158	Bosutinib
159	Brentuximab Vedotin
160	Brexanolone
161	Brexpiprazole
162	Brigatinib
163	Brimonidine
164	Brincidofovir
165	Brivaracetam
166	Bromazepam
167	Bromocriptine
168	Bromotheophylline
169	Brompheniramine
170	Budesonide
171	Bumetanide
172	Buprenorphine
173	Bupropion
174	Buspirone
175	Busulfan
176	Butabarbital
177	Butalbital
178	Butorphanol
179	Cabazitaxel
180	Cabergoline
181	Cabotegravir
182	Cabozantinib
183	Calcifediol
184	Calcium Acetate
185	Calcium Carbonate
186	Calcium Citrate
187	Calcium Gluconate
188	Calcium Polycarbophil
189	Camostat
190	Canagliflozin
191	Canakinumab
192	Candesartan Cilexetil
193	Cangrelor
194	Cannabidiol
195	Capecitabine
196	Capivasertib
197	Capmatinib
198	Captopril
199	Carbamazepine
200	Carbenicillin
201	Carbinoxamine
202	Carbocisteine
203	Carboplatin
204	Carglumic Acid
205	Cariprazine
206	Carisoprodol
207	Carmustine
208	Carvedilol
209	Cedazuridine
210	Cefaclor
211	Cefadroxil
212	Cefamandole
213	Cefdinir
214	Cefditoren
215	Cefixime
216	Cefoperazone
217	Cefotetan
218	Cefpodoxime
219	Cefprozil
220	Cefradine
221	Ceftibuten
222	Cefuroxime
223	Celecoxib
224	Celiprolol
225	Cenobamate
226	Centella Asiatica
227	Cephalexin
228	Ceritinib
