drug_name,food_name
Oxprenolol,natural licorice
Oxtriphylline,caffeine
Oxybutynin,alcohol
Oxycodone,alcohol
Oxymorphone,alcohol
Oxytetracycline,dairy
Oxytetracycline,milk
Ozanimod,tyramine-containing foods
Paclitaxel,echinacea
Paclitaxel,grapefruit
Paclitaxel,st. john's wort
Pacritinib,grapefruit
Pacritinib,st. john's wort
Palbociclib,grapefruit
Palbociclib,st. john's wort
Paliperidone,alcohol
Palovarotene,grapefruit
Palovarotene,st. john's wort
Panobinostat,grapefruit
Panobinostat,st. john's wort
Pargyline,aged cheese
Pargyline,cheese
Pargyline,tyramine-containing foods
Pargyline,yogurt
Paricalcitol,grapefruit
Paritaprevir,st. john's wort
Parnaparin,anticoagulant herbs
Parnaparin,garlic
Parnaparin,ginger
Parnaparin,ginkgo biloba
Paroxetine,alcohol
Pazopanib,grapefruit
Pazopanib,st. john's wort
Pegaspargase,alcohol
Peginterferon alfa-2b,caffeine
Pemetrexed,folic acid/folate
Pemetrexed,vitamin B12
Pemigatinib,grapefruit
Pemoline,alcohol
Pemoline,caffeine
Pentazocine,alcohol
Pentosan polysulfate,anticoagulant herbs
Pentoxifylline,caffeine
Pentoxyverine,alcohol
Periciazine,alcohol
Perindopril,ephedra
Perindopril,high-salt foods
Perindopril,natural licorice
Perindopril,potassium-rich foods
Perphenazine,alcohol
Pexidartinib,grapefruit
Pexidartinib,high-fat foods
Pexidartinib,st. john's wort
Phenelzine,aged cheese
Phenelzine,alcohol
Phenelzine,caffeine
Phenelzine,cheese
Phenelzine,fava beans
Phenelzine,pickled foods
Phenelzine,st. john's wort
Phenelzine,tyramine-containing foods
Phenindamine,alcohol
Phenindione,anticoagulant herbs
Phenindione,garlic
Phenindione,ginger
Phenindione,ginkgo biloba
Phenindione,ginseng
Phenobarbital,alcohol
Phenobarbital,caffeine
Phenprocoumon,anticoagulant herbs
Phenprocoumon,garlic
Phenprocoumon,ginger
Phenprocoumon,ginkgo biloba
Phenprocoumon,grapefruit
Phenprocoumon,st. john's wort
Phenprocoumon,vitamin K
Phentermine,caffeine
Phenylbutazone,alcohol
Phenylpropanolamine,caffeine
Phenytoin,alcohol
Pibrentasvir,st. john's wort
Picosulfuric acid,alcohol
Pimavanserin,grapefruit
Pimavanserin,st. john's wort
Pimozide,grapefruit
Pimozide,st. john's wort
Pindolol,alcohol
Pipotiazine,alcohol
Piroxicam,alcohol
Pitolisant,st. john's wort
Polatuzumab vedotin,grapefruit
Polyethylene glycol,alcohol
Polyethylene glycol,dairy
Polyethylene glycol,milk
Polythiazide,alcohol
Ponatinib,grapefruit
Ponatinib,st. john's wort
Potassium bicarbonate,potassium-rich foods
Practolol,alcohol
Practolol,natural licorice
Pramlintide,alcohol
Prasugrel,anticoagulant herbs
Prasugrel,garlic
Prasugrel,ginger
Prasugrel,ginkgo biloba
Prazepam,alcohol
Prazepam,caffeine
Prazepam,grapefruit
Praziquantel,grapefruit
Prazosin,alcohol
Prazosin,natural licorice
Prednisolone,alcohol
Prednisolone acetate,alcohol
Prednisone,alcohol
Pregabalin,alcohol
Pretomanid,alcohol
Primidone,alcohol
Primidone,st. john's wort
Probenecid,alcohol
Procainamide,alcohol
Procarbazine,aged cheese
Procarbazine,alcohol
Procarbazine,cheese
Procarbazine,tyramine-containing foods
Procarbazine,yogurt
Prochlorperazine,alcohol
Progesterone,alcohol
Progesterone,caffeine
Promazine,alcohol
Promethazine,alcohol
Propafenone,grapefruit
Propiverine,high-fat foods
Propranolol,alcohol
Propranolol,natural licorice
Protein C,anticoagulant herbs
Protein C,garlic
Protein C,ginger
Protein C,ginkgo biloba
Protein S human,anticoagulant herbs
Protein S human,garlic
Protein S human,ginger
Protein S human,ginkgo biloba
Protirelin,high-fat foods
Pyrimethamine,folic acid/folate
Quazepam,alcohol
Quetiapine,alcohol
Quinagolide,alcohol
Quinapril,ephedra
Quinapril,high-fat foods
Quinapril,high-salt foods
Quinapril,natural licorice
Quinapril,potassium-rich foods
Quinidine,grapefruit
Quinidine,st. john's wort
Racepinephrine,caffeine
Raloxifene,alcohol
Raloxifene,vitamin D
Ramelteon,alcohol
Ramelteon,high-fat foods
Ramipril,potassium-rich foods
Ranolazine,grapefruit
Rasagiline,cheese
Rasagiline,fava beans
Rasagiline,pickled foods
Rasagiline,st. john's wort
Rasagiline,tyramine-containing foods
Regadenoson,caffeine
Regorafenib,grapefruit
Regorafenib,st. john's wort
Remifentanil,alcohol
Remimazolam,alcohol
Reserpine,alcohol
Reteplase,anticoagulant herbs
Reteplase,garlic
Reteplase,ginger
Reteplase,ginkgo biloba
Reviparin,anticoagulant herbs
Reviparin,garlic
Reviparin,ginger
Reviparin,ginkgo biloba
Ribavirin,alcohol
Ribociclib,grapefruit
Ribociclib,st. john's wort
Rifampin,alcohol
Rifamycin,alcohol
Rilmenidine,alcohol
Rilpivirine,st. john's wort
Rilzabrutinib,grapefruit
Riociguat,magnesium
Riociguat,st. john's wort
Risedronic acid,calcium-rich foods
Risedronic acid,vitamin D
Ritonavir,st. john's wort
Rivaroxaban,anticoagulant herbs
Rivaroxaban,garlic
Rivaroxaban,ginger
Rivaroxaban,ginkgo biloba
Rivaroxaban,st. john's wort
Rolapitant,st. john's wort
Rolitetracycline,calcium-rich foods
Rolitetracycline,dairy
Rolitetracycline,milk
Romidepsin,grapefruit
Romidepsin,st. john's wort
Romosozumab,calcium supplements
Romosozumab,calcium-rich foods
Romosozumab,vitamin D
Rucaparib,grapefruit
Rucaparib,st. john's wort
Rupatadine,grapefruit
Ruxolitinib,grapefruit
Ruxolitinib,st. john's wort
Safinamide,alcohol
Safinamide,cheese
Safinamide,fava beans
Safinamide,pickled foods
Safinamide,st. john's wort
Safinamide,tyramine-containing foods
Salmon calcitonin,calcium supplements
Salmon calcitonin,calcium-rich foods
Salmon calcitonin,vitamin D
Salsalate,alcohol
Saquinavir,grapefruit
Saruplase,anticoagulant herbs
Saruplase,garlic
Saruplase,ginger
Saruplase,ginkgo biloba
Scopolamine,grapefruit
Secnidazole,alcohol
Secobarbital,alcohol
Segesterone acetate,st. john's wort
Selegiline,aged cheese
Selegiline,cheese
Selegiline,tyramine-containing foods
Selegiline,yogurt
Semuloparin,anticoagulant herbs
Semuloparin,garlic
Semuloparin,ginger
Semuloparin,ginkgo biloba
Sennosides,natural licorice
Sertraline,st. john's wort
Silodrate,magnesium
Simvastatin,grapefruit
Siponimod,st. john's wort
Sirolimus,grapefruit
Sirolimus,st. john's wort
Sodium feredetate,caffeine
Sodium feredetate,dairy
Sodium feredetate,iron
Sodium feredetate,milk
Sodium fluoride,dairy
Sodium fluoride,milk
Sodium oxybate,alcohol
Sonidegib,grapefruit
Sonidegib,st. john's wort
Sorafenib,grapefruit
Sorafenib,high-fat foods
Sorafenib,st. john's wort
Spirapril,ephedra
Spirapril,high-salt foods
Spirapril,natural licorice
Spirapril,potassium-rich foods
Spironolactone,potassium-rich foods
Stavudine,alcohol
Stiripentol,alcohol
Stiripentol,caffeine
Stiripentol,dairy
Stiripentol,milk
Streptokinase,anticoagulant herbs
Streptokinase,garlic
Streptokinase,ginger
Streptokinase,ginkgo biloba
Strontium ranelate,calcium supplements
Strontium ranelate,calcium-rich foods
Sufentanil,alcohol
Sufentanil,grapefruit
Sulindac,alcohol
Sulodexide,anticoagulant herbs
Sulodexide,garlic
Sulodexide,ginger
Sulodexide,ginkgo biloba
Sulpiride,alcohol
Sumatriptan,alcohol
Sunitinib,grapefruit
Sunitinib,st. john's wort
Suvorexant,grapefruit
Suzetrigine,grapefruit
"Synthetic Conjugated Estrogens, A",grapefruit
"Synthetic Conjugated Estrogens, A",st. john's wort
"Synthetic Conjugated Estrogens, B",grapefruit
"Synthetic Conjugated Estrogens, B",st. john's wort
Tacrolimus,alcohol
Tacrolimus,grapefruit
Tacrolimus,magnesium
Tacrolimus,st. john's wort
Tadalafil,alcohol
Tadalafil,grapefruit
Taletrectinib,grapefruit
Tamoxifen,st. john's wort
Tapentadol,alcohol
Tasimelteon,grapefruit
Tasimelteon,st. john's wort
Telaprevir,st. john's wort
Temazepam,alcohol
Temsirolimus,grapefruit
Temsirolimus,st. john's wort
Tenecteplase,anticoagulant herbs
Tenecteplase,garlic
Tenecteplase,ginger
Tenecteplase,ginkgo biloba
Teniposide,grapefruit
Teniposide,st. john's wort
Tenofovir alafenamide,st. john's wort
Terbinafine,caffeine
Terfenadine,grapefruit
Terfenadine,st. john's wort
Tetrabenazine,alcohol
Tetracycline,dairy
Tetracycline,milk
Tezacaftor,grapefruit
Tezacaftor,st. john's wort
Thalidomide,alcohol
Theophylline,alcohol
Theophylline,st. john's wort
Thiethylperazine,alcohol
Thiopental,alcohol
Thioproperazine,alcohol
Thioridazine,alcohol
Thiotepa,grapefruit
Thiotepa,st. john's wort
Thiothixene,alcohol
Tiagabine,alcohol
Tianeptine,grapefruit
Tianeptine,st. john's wort
Tiaprofenic acid,alcohol
Tibolone,st. john's wort
Ticagrelor,anticoagulant herbs
Ticagrelor,garlic
Ticagrelor,ginger
Ticagrelor,ginkgo biloba
Ticagrelor,grapefruit
Ticagrelor,st. john's wort
Tiludronic acid,calcium supplements
Tiludronic acid,calcium-rich foods
Tiludronic acid,magnesium
Tinidazole,alcohol
Tinzaparin,anticoagulant herbs
Tinzaparin,garlic
Tinzaparin,ginger
Tinzaparin,ginkgo biloba
Tioclomarol,anticoagulant herbs
Tioclomarol,garlic
Tioclomarol,ginger
Tioclomarol,ginkgo biloba
Tiratricol,calcium supplements
Tiratricol,calcium-rich foods
Tiratricol,iron
Tiratricol,iron supplements
Tizanidine,alcohol
Tocopherylquinone,anticoagulant herbs
Tocopherylquinone,garlic
Tocopherylquinone,ginger
Tocopherylquinone,ginkgo biloba
Tofacitinib,grapefruit
Tofacitinib,st. john's wort
Tolazamide,alcohol
Tolbutamide,alcohol
Tolmetin,alcohol
Tolvaptan,alcohol
Tolvaptan,grapefruit
Tolvaptan,st. john's wort
Toremifene,grapefruit
Trabectedin,alcohol
Trabectedin,grapefruit
Trabectedin,st. john's wort
Tramadol,alcohol
Trandolapril,ephedra
Trandolapril,high-salt foods
Trandolapril,natural licorice
Trandolapril,potassium-rich foods
Tranylcypromine,aged cheese
Tranylcypromine,alcohol
Tranylcypromine,cheese
Tranylcypromine,fava beans
Tranylcypromine,pickled foods
Tranylcypromine,st. john's wort
Tranylcypromine,tyramine-containing foods
Trastuzumab emtansine,grapefruit
Trazodone,alcohol
Trazodone,st. john's wort
Triamterene,potassium-rich foods
Triazolam,alcohol
Triazolam,grapefruit
Triethylenetetramine,iron
Triethylenetetramine,iron supplements
Trifluoperazine,alcohol
Triflusal,anticoagulant herbs
Triflusal,garlic
Triflusal,ginger
Triflusal,ginkgo biloba
Trimethadione,alcohol
Trimethobenzamide,alcohol
Trimipramine,alcohol
Trioxsalen,celery
Trioxsalen,parsley
Triprolidine,alcohol
Tropisetron,alcohol
Ubrogepant,st. john's wort
Upadacitinib,grapefruit
Upadacitinib,st. john's wort
Urokinase,anticoagulant herbs
Urokinase,garlic
Urokinase,ginger
Urokinase,ginkgo biloba
Valbenazine,st. john's wort
Valdecoxib,alcohol
Valoctocogene roxaparvovec,alcohol
Valproic acid,alcohol
Valproic acid,dairy
Valproic acid,milk
Vandetanib,grapefruit
Vandetanib,st. john's wort
Vanzacaftor,grapefruit
Vardenafil,grapefruit
Varenicline,alcohol
Velpatasvir,st. john's wort
Vemurafenib,caffeine
Vemurafenib,grapefruit
Vemurafenib,high-fat foods
Vemurafenib,st. john's wort
Venetoclax,grapefruit
Venetoclax,st. john's wort
Venlafaxine,alcohol
Venlafaxine,st. john's wort
Verapamil,alcohol
Verapamil,grapefruit
Vilazodone,alcohol
Vilazodone,st. john's wort
Vinblastine,grapefruit
Vinblastine,st. john's wort
Vincristine,grapefruit
Vincristine,st. john's wort
Vindesine,grapefruit
Vindesine,st. john's wort
Vinflunine,grapefruit
Vinflunine,st. john's wort
Vinorelbine,grapefruit
Vinorelbine,st. john's wort
Voclosporin,grapefruit
Vorapaxar,anticoagulant herbs
Vorapaxar,garlic
Vorapaxar,ginger
Vorapaxar,ginkgo biloba
Vorapaxar,grapefruit
Vorapaxar,st. john's wort
Vortioxetine,alcohol
Vortioxetine,st. john's wort
Voxelotor,grapefruit
Voxelotor,st. john's wort
Voxilaprevir,st. john's wort
Warfarin,anticoagulant herbs
Warfarin,garlic
Warfarin,ginger
Warfarin,ginkgo biloba
Warfarin,grapefruit
Warfarin,st. john's wort
Warfarin,vitamin K
Warfarin,vitamin K-rich foods
Ximelagatran,anticoagulant herbs
Ximelagatran,garlic
Ximelagatran,ginger
Ximelagatran,ginkgo biloba
Zalcitabine,magnesium
Zaleplon,alcohol
Zaleplon,high-fat foods
Zanubrutinib,grapefruit
Zanubrutinib,st. john's wort
Ziconotide,alcohol
Zileuton,alcohol
Zileuton,grapefruit
Zileuton,st. john's wort
Zinc,dairy
Zinc,high-fiber foods
Zinc,milk
Zinc,zinc
Zinc acetate,dairy
Zinc acetate,high-fiber foods
Zinc acetate,milk
Zinc acetate,zinc
Zinc ascorbate,dairy
Zinc ascorbate,high-fiber foods
Zinc ascorbate,milk
Zinc ascorbate,zinc
Zinc citrate,dairy
Zinc citrate,high-fiber foods
Zinc citrate,milk
Zinc citrate,zinc
Zinc gluconate,dairy
Zinc gluconate,high-fiber foods
Zinc gluconate,milk
Zinc gluconate,zinc
Zinc oxide,dairy
Zinc oxide,high-fiber foods
Zinc oxide,milk
Zinc oxide,zinc
Zinc sulfate,dairy
Zinc sulfate,high-fiber foods
Zinc sulfate,milk
Zinc sulfate,zinc
"Zinc sulfate, unspecified form",dairy
"Zinc sulfate, unspecified form",high-fiber foods
"Zinc sulfate, unspecified form",milk
"Zinc sulfate, unspecified form",zinc
Ziprasidone,alcohol
Zolpidem,alcohol
Zonisamide,alcohol
Zopiclone,alcohol
Zopiclone,grapefruit
Zuclopenthixol,alcohol
