drug_id,drug_name,category,dual_role,notes
DA,,pharmaceutical,,Enantiomer/variant of: 
DBP,,pharmaceutical,,Enantiomer/variant of: 
DCA,,pharmaceutical,,Enantiomer/variant of: 
DEN,,pharmaceutical,,Enantiomer/variant of: 
DFO,,pharmaceutical,,Enantiomer/variant of: 
DFP,,pharmaceutical,,Enantiomer/variant of: 
DHT,,pharmaceutical,,Enantiomer/variant of: 
DMBA,,pharmaceutical,,Enantiomer/variant of: 
DMSO,,pharmaceutical,,Enantiomer/variant of: 
DOX,,pharmaceutical,,Enantiomer/variant of: 
DPI,,pharmaceutical,,Enantiomer/variant of: 
DPPH,,pharmaceutical,,Enantiomer/variant of: 
DS,,pharmaceutical,,Enantiomer/variant of: 
DSS,,pharmaceutical,,Enantiomer/variant of: 
DXR,,pharmaceutical,,Enantiomer/variant of: 
Dexamethasone,,pharmaceutical,,Enantiomer/variant of: 
Dibutyryl-cGMP,,pharmaceutical,,Enantiomer/variant of: 
Diclofenac,,pharmaceutical,,Enantiomer/variant of: 
Diphenylene iodonium,,pharmaceutical,,Enantiomer/variant of: 
Dox,,pharmaceutical,,Enantiomer/variant of: 
Doxorubicin,,pharmaceutical,,Enantiomer/variant of: 
E2,,pharmaceutical,,Enantiomer/variant of: 
EC,,pharmaceutical,,Enantiomer/variant of: 
EE,,pharmaceutical,,Enantiomer/variant of: 
ETP,,pharmaceutical,,Enantiomer/variant of: 
Endoxan,,pharmaceutical,,Enantiomer/variant of: 
Estrogen,,pharmaceutical,,Enantiomer/variant of: 
Etoposide,,pharmaceutical,,Enantiomer/variant of: 
FPG,,pharmaceutical,,Enantiomer/variant of: 
FSH,,pharmaceutical,,Enantiomer/variant of: 
FT,,pharmaceutical,,Enantiomer/variant of: 
Fe,,pharmaceutical,,Enantiomer/variant of: 
Ferrous ions,,pharmaceutical,,Enantiomer/variant of: 
Fexofenadine,,pharmaceutical,,Enantiomer/variant of: 
Fluoride,,pharmaceutical,,Enantiomer/variant of: 
Flutamide,,pharmaceutical,,Enantiomer/variant of: 
GPx,,pharmaceutical,,Enantiomer/variant of: 
GSH,,pharmaceutical,,Enantiomer/variant of: 
Gentamicin,,pharmaceutical,,Enantiomer/variant of: 
Glucagon,,pharmaceutical,,Enantiomer/variant of: 
Glucose,,pharmaceutical,,Enantiomer/variant of: 
Glutathione,,pharmaceutical,,Enantiomer/variant of: 
H(2) O(2),,pharmaceutical,,Enantiomer/variant of: 
H-89,,pharmaceutical,,Enantiomer/variant of: 
HG,,pharmaceutical,,Enantiomer/variant of: 
HQ,,pharmaceutical,,Enantiomer/variant of: 
HSL,,pharmaceutical,,Enantiomer/variant of: 
Haloperidol,,pharmaceutical,,Enantiomer/variant of: 
Hcy,,pharmaceutical,,Enantiomer/variant of: 
Hemin,,pharmaceutical,,Enantiomer/variant of: 
Hydroxybupropion,,pharmaceutical,,Enantiomer/variant of: 
H₂O₂,,pharmaceutical,,Enantiomer/variant of: 
IDV,,pharmaceutical,,Enantiomer/variant of: 
IFA,,pharmaceutical,,Enantiomer/variant of: 
IGF-I,,pharmaceutical,,Enantiomer/variant of: 
IH,,pharmaceutical,,Enantiomer/variant of: 
IPC,,pharmaceutical,,Enantiomer/variant of: 
