food_name,food_id,drug_name,drug_id,verdict
Glucose/Fructose (Honey / Sugar Syrup),177,torasemide,1308,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),177,spironolactone,1201,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),177,statins,1772,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),177,isotretinoin,666,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),177,simvastatin,1174,LIT-confirmed
Glucose/Fructose (Honey / Sugar Syrup),177,cyclosporine,306,LIT-confirmed
Oxidised Lipids (Deep-Fry Oil) + Lecithin,189,statins,1772,PubMed-NLP
Oxidised Lipids (Deep-Fry Oil) + Lecithin,189,simvastatin,1174,PubMed-NLP
Limonene,1051,cyclosporine,306,PubMed-NLP
Saturated Fats,9,sildenafil,1168,DrugBank-text
Saturated Fats,9,isosorbide mononitrate,665,DrugBank-text
Saturated Fats,9,nitroglycerin,900,DrugBank-text
Saturated Fats,9,aspirin,1469,DrugBank-text
Saturated Fats,9,clopidogrel,278,DrugBank-text
Saturated Fats,9,lithium,1475,DrugBank-text
Saturated Fats,9,empagliflozin,433,DrugBank-text
Saturated Fats,9,dapagliflozin,322,DrugBank-text
Saturated Fats,9,canagliflozin,190,DrugBank-text
LArginine+Omega3+Amygdalin,512,insulin,1615,PubMed-NLP
LArginine+Omega3+Amygdalin,512,metformin,794,PubMed-NLP
LArginine+Omega3+Amygdalin,512,statins,1772,PubMed-NLP
LArginine+Omega3+Amygdalin,512,cyclosporine,306,PubMed-NLP
LArginine+Omega3+Amygdalin,512,amiodarone,56,PubMed-NLP
LArginine+Omega3+Amygdalin,512,simvastatin,1174,PubMed-NLP
LArginine+Omega3+Amygdalin,512,sildenafil,1168,PubMed-NLP
LArginine+Omega3+Amygdalin,512,t,1824,PubMed-NLP
LArginine+Omega3+Amygdalin,512,isosorbide mononitrate,665,PubMed-NLP
LArginine+Omega3+Amygdalin,512,nitroglycerin,900,PubMed-NLP
LArginine+Omega3+Amygdalin,512,lithium,1475,PubMed-NLP
LArginine+Omega3+Amygdalin,512,digoxin,378,PubMed-NLP
LArginine+Omega3+Amygdalin,512,empagliflozin,433,PubMed-NLP
LArginine+Omega3+Amygdalin,512,dapagliflozin,322,PubMed-NLP
