brand_name,inn_raw,inn_normalized,pipeline_drug,match_type
FERINJECT,Carboxymaltose ferrique exprimé en fer,fer,,none
KYPROLIS,Carfilzomib,carfilzomib,Carfilzomib,exact
CONSIUM,CARMUSTINE,carmustine,Carmustine,exact
KINADYN MG,CARONATE DE MAGNESIUM EXPRIME EN MAGNESIUM,magnesium,Magnesium,exact
TITANOREINE,CARRAGHENATES/DIOXYDE DE TITANE/OXYDE DE ZINC,carraghenates/dioxyde de titane/oxyde de zinc,,none
TITANOREINE A LA LIDOCAINE 2%,CARRAGHENATES/DIOXYDE DE TITANE/OXYDE DE ZINC/LIDOCAINE,carraghenates/dioxyde de titane/oxyde de zinc/lidocaine,,none
CARTEOL,CARTEOLOL,carteolol,,none
CARTEOL LP,CARTEOLOL,carteolol,,none
CARVEDILOL LDM,CARVEDILOL,carvedilol,Carvedilol,exact
CANCIDAS,CASPOFUNGINE ACETATE EXPRIME EN CASPOFUNGINE,caspofungine,Caspofungin,exact
AFUNDAS-L,CASPOFUNGINE ACETATE EXPRIME EN CASPOFUNGINE,caspofungine,Caspofungin,exact
CLORAFAL,CEFACLOR,cefaclor,Cefaclor,exact
TABICLOR,CEFACLOR,cefaclor,Cefaclor,exact
CLORACEF FORTE 250,CEFACLOR MONOHYDRATE EXPRIME EN CAFACLOR,cafaclor,,none
CLORACEF MR,CEFACLOR MONOHYDRATE EXPRIME EN CAFACLOR,cafaclor,,none
DICEF,CEFACLOR MONOHYDRATE EXPRIME EN CAFACLOR,cafaclor,,none
CEDROX,CEFADROXIL MONOHYDRATE EXPRIME EN CEFADROXIL ANHYDRE,cefadroxil,Cefadroxil,exact
CEDROXAL,CEFADROXIL MONOHYDRATE EXPRIME EN CEFADROXIL ANHYDRE,cefadroxil,Cefadroxil,exact
LEXIN,CEFALEXINE,cefalexine,,none
LEXINAL,CEFALEXINE,cefalexine,,none
CEPHADAR FORTE,CEFALEXINE,cefalexine,,none
CEPHADAR,CEFALEXINE,cefalexine,,none
RAMOXIN,CEFALEXINE,cefalexine,,none
CEPHALEX,CEFALEXINE,cefalexine,,none
UNILEXIN,CEFALEXINE,cefalexine,,none
KEFORAL,CEFALEXINE,cefalexine,,none
ANCEFAL,CEFALEXINE MONOHYDRATE EXPRIME EN CEFALEXINE ANHYDRE,cefalexine,,none
LEXINAL,CEFALEXINE MONOHYDRATEE,cefalexinee,,none
LEXIN,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,cefalexine,,none
ANCEFAL,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,cefalexine,,none
LEXINAL,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,cefalexine,,none
KEFALEX,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,cefalexine,,none
CEPHALEX,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,cefalexine,,none
MIDAFLEX,CEFALEXINE MONOHYDRATEE EXPRIME EN CEFALEXINE,cefalexine,,none
ZEPILEN,CEFAZOLINE,cefazoline,Cefazolin,exact
CEFAZOL,CEFAZOLINE,cefazoline,Cefazolin,exact
NODILOF,CEFAZOLINE SODIQUE EXPRIME EN CAFAZOLINE,cafazoline,,none
CEFAZAL,CEFAZOLINE SODIQUE EXPRIME EN CEFAZOLINE,cefazoline,Cefazolin,exact
OMNICEF,CEFDINIR,cefdinir,Cefdinir,exact
OMNIFAL,CEFDINIR,cefdinir,Cefdinir,exact
WINEX,CEFIXIME,cefixime,Cefixime,exact
BETIXIM,CEFIXIME,cefixime,Cefixime,exact
OROKAL,CEFIXIME TRIHYDRATE,cefixime,Cefixime,exact
ORAKAL,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,cefixime,Cefixime,exact
WINEX,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,cefixime,Cefixime,exact
OROKEN ENF,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,cefixime,Cefixime,exact
OROKEN NOUR,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,cefixime,Cefixime,exact
OROKAL,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,cefixime,Cefixime,exact
OROKEN,CEFIXIME TRIHYDRATE EXPRIME EN CEFIXIME ANHYDRE,cefixime,Cefixime,exact
OROKAL,CEFIXIME TRIHYDRATEE EXPRIME EN CEFIXIME,cefixime,Cefixime,exact
PERAZ 1000,CEFOPERAZONE SODIQUE EXPRIME EN CEFOPERAZONE,cefoperazone,Cefoperazone,exact
PERAZ 2000,CEFOPERAZONE SODIQUE EXPRIME EN CEFOPERAZONE,cefoperazone,Cefoperazone,exact
TRICEF,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,cefotaxime,Cefotaxime,exact
CEFOTAL,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,cefotaxime,Cefotaxime,exact
CEFODEX,CEFOTAXIME SODIQUE EXPRIME EN CEFOTAXIME,cefotaxime,Cefotaxime,exact
RELOXAL,CEFPODOXIME** (SOUS FORME DE CEFPODOXIME PROXETIL),cefpodoxime** (sous forme de cefpodoxime proxetil),Cefpodoxime,prefix
ZEEFRA,CEFRADINE,cefradine,Cefradine,exact
CEFTAZIM,CEFTAZIDIME PENTAHYDRATE EXPRIME EN CEFTAZIDIME,ceftazidime,Ceftazidime,exact
CETIZAL,CEFTIZOXIME SODIQUE EXPRIME EN CEFTIZOXIME,ceftizoxime,Ceftizoxime,exact
TIZO 1000,CEFTIZOXIME SODIQUE EXPRIME EN CEFTIZOXIME,ceftizoxime,Ceftizoxime,exact
CEFTRIAXONA HIKMA,CEFTRIAXONE SODIQUE EXPRIME EN CEFTRIAXONE,ceftriaxone,Ceftriaxone,exact
CETRIAXONE HUP,CEFTRIAXONE SODIQUE EXPRIME EN CEFTRIAXONE,ceftriaxone,Ceftriaxone,exact
ZINETAL,Cefuroxime axetil exprime en cefuroxime,cefuroxime,Cefuroxime,exact
DAROXIME,Cefuroxime axetil exprime en cefuroxime,cefuroxime,Cefuroxime,exact
ZINNAT,Cefuroxime axetil exprime en cefuroxime,cefuroxime,Cefuroxime,exact
ZINOXIMOR,Cefuroxime axetil exprime en cefuroxime,cefuroxime,Cefuroxime,exact
ZINOXIMOR 500,Cefuroxime axetil exprime en cefuroxime,cefuroxime,Cefuroxime,exact
CEFUCARE,Cefuroxime axetil exprime en cefuroxime,cefuroxime,Cefuroxime,exact
CEFROZINE,Cefuroxime axetil exprime en cefuroxime,cefuroxime,Cefuroxime,exact
CIREXA,CELECOXIB,celecoxib,Celecoxib,exact
NOTOREX,CELECOXIB,celecoxib,Celecoxib,exact
CELECOX,CELECOXIB,celecoxib,Celecoxib,exact
CELEXAL,CELECOXIB,celecoxib,Celecoxib,exact
CELEBREX,CELECOXIB,celecoxib,Celecoxib,exact
NOVABREX,CELECOXIB,celecoxib,Celecoxib,exact
INICOX 100,CELECOXIB,celecoxib,Celecoxib,exact
INICOX 200,CELECOXIB,celecoxib,Celecoxib,exact
COXIBREX,CELECOXIB,celecoxib,Celecoxib,exact
CELECOXIB LDM,CELECOXIB,celecoxib,Celecoxib,exact
RUMABREX,CELECOXIB,celecoxib,Celecoxib,exact
CELECOBREX HUP,CELECOXIB,celecoxib,Celecoxib,exact
CELECOMEX,CELECOXIB,celecoxib,Celecoxib,exact
CELVEX,CELECOXIB,celecoxib,Celecoxib,exact
CELECOXIB BEKER,CELECOXIB,celecoxib,Celecoxib,exact
ARBREX,CELECOXIB,celecoxib,Celecoxib,exact
MEDIBREX,CELECOXIB,celecoxib,Celecoxib,exact
GRIPEX ALLERGIE,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
CETIRIZINE GL,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
CETIRIZINE PHYSIOPHARM,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
ZYTREX,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
RHITENE,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
TRIZ,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
ZETIREC,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
HISTARIZINE,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
ARTIZ,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
ZITRINE,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
ZYRTIRIZINE,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
CETIRIZINE MYLAN,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
NADEC,CETIRIZINE DICHLORHYDRATE,cetirizine dichlorhydrate,Cetirizine,prefix
CETROTIDE,CETRORELIX ACETATE EXPRIME EN CETRORELIX,cetrorelix,Cetrorelix,exact
ERBITUX,CETUXIMAB,cetuximab,Cetuximab,exact
LYSOPAINE SANS SUCRE,CETYLPYRIDINIUM CHLORURE / LYSOSYME CHLORHYDRATE,cetylpyridinium chlorure / lysosyme,,none
CARBOPHOS,CHARBON  VEGETAL,charbon  vegetal,,none
EUCARBON,CHARBON  VEGETAL / EXTRAIT DE RHUBARBE / FEUILLES DE SENE/SOUFRE PURIFIE,charbon  vegetal / extrait de rhubarbe / feuilles de sene/soufre purifie,,none
LEUKERAN,CHLORAMBUCIL,chlorambucil,Chlorambucil,exact
CEBENICOL,CHLORAMPHENICOL,chloramphenicol,Chloramphenicol,exact
ELUDRIL,CHLORHEXIDINE DIGLUCONATE /CHLOROBUTANOL HEMIHYDRATE,chlorhexidine digluconate /chlorobutanol,Chlorhexidine,prefix
HYSADRIL,CHLORHEXIDINE** (SOUS FORME DE DIGLUCONATE),chlorhexidine** (sous forme de digluconate),Chlorhexidine,prefix
REMIFENTANIL MYLAN,CHLORHYDRATE DE REMIFENTANIL,chlorhydrate de remifentanil,Chlorhexidine,prefix
TRAMADINE,CHLORHYDRATE DE TRAMADOL,chlorhydrate de tramadol,Chlorhexidine,prefix
RUBIDEX,CHLORHYDRATE DOXORUBICINE,chlorhydrate doxorubicine,Chlorhexidine,prefix
LARGACTIL,CHLORPROMAZINE,chlorpromazine,Chlorpromazine,exact
DORMAZINE,CHLORPROMAZINE,chlorpromazine,Chlorpromazine,exact
DORMAZINE,CHLORPROMAZINE (CHLORHYDRATE) EXPRIME EN CHLORPROMAZINE,chlorpromazine,Chlorpromazine,exact
LARGAMED 100,CHLORPROMAZINE CHLORHYDRATE EXPRIME EN CHLORPROMAZINE,chlorpromazine,Chlorpromazine,exact
PROMAZ,CHLORPROMAZINE CHLORHYDRATE EXPRIME EN CHLORPROMAZINE,chlorpromazine,Chlorpromazine,exact
LARGACTIL,CHLORPROMAZINE CHLORHYDRATE EXPRIME EN CHLORPROMAZINE,chlorpromazine,Chlorpromazine,exact
CALCIPACK,Chlorure de calcium héxahydraté,chlorure de calcium héxahydraté,,none
CHLORURE DE POTASSIUM AGUETTANT,CHLORURE DE POTASSIUM,chlorure de potassium,,none
KALIPACK,CHLORURE DE POTASSIUM,chlorure de potassium,,none
MUTI-BIC 3 MMOL/L POTASIUM,CHLORURE DE POTASSIUM/CHLORURE DE CALCIUM DIHYDRATE/CHLORURE DE MAGNESIUM HEXAHYDRATE/GLUCOSE ANHYDRE S/F MONOHYDRATE,chlorure de potassium/chlorure de calcium/chlorure de magnesium hexahydrate/glucose s/f,,none
"URO 3000CHLORURE DE SODIUM 0,9%",CHLORURE DE SODIUM,chlorure de sodium,,none
CHLORURE DE SODIUM HYPERTONIQUE SAIDAL,CHLORURE DE SODIUM,chlorure de sodium,,none
SOFABIC,CHLORURE DE SODIUM / BICARBONATE DE SODIUM,chlorure de sodium / bicarbonate de sodium,,none
DPCA FORMULE 91,CHLORURE DE SODIUM / CHLORURE DE CALCIUM DIHYDRATE / CHLORURE DE MAGNESIUM HEXAHYDRATE / SOLUTION DE LACTATE DE SODIUM A 60% / GLUCOSE MONOHYDRATE,chlorure de sodium / chlorure de calcium / chlorure de magnesium hexahydrate / solution de de sodium a 60% / glucose,,none
SOFACID A1,CHLORURE DE SODIUM / CHLORURE DE POTASSIUM / CHLORURE DE CALCIUM / CHLORURE DE MAGNESIUM / ACIDE ACETIQUE,chlorure de sodium / chlorure de potassium / chlorure de calcium / chlorure de magnesium / acide acetique,,none
SOFACID A2,CHLORURE DE SODIUM / CHLORURE DE POTASSIUM / CHLORURE DE CALCIUM / CHLORURE DE MAGNESIUM / ACIDE ACETIQUE / ACETATE DE SODIUM,chlorure de sodium / chlorure de potassium / chlorure de calcium / chlorure de magnesium / acide acetique / de sodium,,none
REHYDRAX,CHLORURE DE SODIUM/CHLORURE DE POTASSIUM/CITRATE DE SODIUM SOUS FORME TRISODIQUE DIHYDRATEE /GLUCOSE ANHYDRE,chlorure de sodium/chlorure de potassium/citrate de sodium sous forme trisodiquee /glucose,,none
MYCOSTER,CICLOPIROX,ciclopirox,Ciclopirox,exact
MYCODERM,CICLOPIROX OLAMINE,ciclopirox olamine,Ciclopirox,prefix
MYCOSTER,CICLOPIROX OLAMINE,ciclopirox olamine,Ciclopirox,prefix
SANDIMMUN NEORAL,CICLOSPORINE,ciclosporine,,none
SANDIMMUN,CICLOSPORINE,ciclosporine,,none
IMUSPORIN 25,CICLOSPORINE,ciclosporine,,none
IMUSPORIN 50,CICLOSPORINE,ciclosporine,,none
CICLAID,CICLOSPORINE,ciclosporine,,none
ENDOLET,CINACALCET CHLORHYDRATE EXPRIME EN CINACALCET,cinacalcet,Cinacalcet,exact
MIMPARA,CINACALCET CHLORHYDRATE EXPRIME EN CINACALCET,cinacalcet,Cinacalcet,exact
INDPRO,CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
CIPROFLOXACINE RAZES,CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
CIPRODAR,CIPROFLOXACINE ** (SOUS FORME D' HDROCHLORIDE MONOHYDRATE),ciprofloxacine ** (sous forme d' hdrochloride),,none
LOXANAD,CIPROFLOXACINE CHLORHYDRATE (EXPRIME EN CIPROFLOXACINE),ciprofloxacine),,none
CILOXAN,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
CIPROFLOXAL,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
CIPRODAR,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
OTOCINE,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
FLOCINE,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
CIPROTEK,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
CIPROFLOXACINE BEKER,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
LOXANAD,CIPROFLOXACINE CHLORHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
FLOCINE,CIPROFLOXACINE CHLORHYRATE MONOHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
QUINOX,CIPROFLOXACINE CHLORHYRATE MONOHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
QUINOX LP,CIPROFLOXACINE CHLORHYRATE MONOHYDRATE EXPRIME EN CIPROFLOXACINE,ciprofloxacine,Ciprofloxacin,exact
SOMAZINA,CITICOLINE,citicoline,Citicoline,exact
CITICOLINE GL,CITICOLINE SOUS FORME SODIQUE,citicoline sous forme,Citicoline,prefix
CITICOLINE ISO,CITICOLINE SOUS FORME SODIQUE,citicoline sous forme,Citicoline,prefix
CITICOLINE PHARMAGHREB,CITICOLINE SOUS FORME SODIQUE,citicoline sous forme,Citicoline,prefix
SOMAZINA,CITICOLINE SOUS FORME SODIQUE,citicoline sous forme,Citicoline,prefix
SOMACOLINE,CITICOLINE SOUS FORME SODIQUE,citicoline sous forme,Citicoline,prefix
CICOLINA,CITICOLINE** (SOUS FORME MONOSODIQUE),citicoline** (sous forme),Citicoline,prefix
CIBETAINE,CITRATE DE BETAINE,citrate de betaine,,none
RITOCINE,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
CLARITAL,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
CLARIDAR 500,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
CLARIDAR 250,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
HUCLAR,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
CLARIDAR 125,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
ZECLAR,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
ZECLAR 25,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
ARICLARE,CLARITHROMYCINE,clarithromycine,Clarithromycin,exact
CLINARAM,CLINDAMYCINE CHLORHYDRATE EXPRIME EN CLINDAMYCINE,clindamycine,Clindamycin,exact
DERMA-T,Clindamycine phosphate exprimé en clindamycine,clindamycine,Clindamycin,exact
ACNESTOP,Clindamycine phosphate exprimé en clindamycine,clindamycine,Clindamycin,exact
DENACINE,Clindamycine phosphate exprimé en clindamycine,clindamycine,Clindamycin,exact
DENACINE EMULGEL,Clindamycine phosphate exprimé en clindamycine,clindamycine,Clindamycin,exact
CLOTASOL,CLOBETASOL PROPIONATE,clobetasol propionate,Clobetasol propionate,exact
CLOBECORT,CLOBETASOL PROPIONATE,clobetasol propionate,Clobetasol propionate,exact
PROCLO JAM,CLOBETASOL PROPIONATE,clobetasol propionate,Clobetasol propionate,exact
BONEFOS,CLODRONATE DISODIQUE TETRAHYDRATE,clodronate tetrahydrate,Clodronic acid,prefix
CROVIFENE,CLOMIFENE CITRATE,clomifene,Clomifene,exact
BIOMID BR,CLOMIFENE CITRATE,clomifene,Clomifene,exact
CLOMINE,CLOMIFENE CITRATE,clomifene,Clomifene,exact
CLOMID,CLOMIFENE CITRATE,clomifene,Clomifene,exact
LOMIFEN,CLOMIFENE CITRATE,clomifene,Clomifene,exact
CRONIL,CLOMIPRAMINE CHLORHYDRATE,clomipramine,Clomipramine,exact
TRIANIL,CLOMIPRAMINE CHLORHYDRATE,clomipramine,Clomipramine,exact
CLONAPRIME,CLOMIPRAMINE CHLORHYDRATE,clomipramine,Clomipramine,exact
ANAFRANIL,CLOMIPRAMINE CHLORHYDRATE,clomipramine,Clomipramine,exact
CLOFRANIL,CLOMIPRAMINE CHLORHYDRATE,clomipramine,Clomipramine,exact
NOVATRIL,CLONAZEPAM,clonazepam,Clonazepam,exact
RIVOMED,CLONAZEPAM,clonazepam,Clonazepam,exact
CLONA,CLONAZEPAM,clonazepam,Clonazepam,exact
CRONIDINE,CLONIDINE CHLORHYDRATE,clonidine,Clonidine,exact
CLOPIDOGREL NOVAGENERICS,CLOPIDOGREL HYDROGENE EXPRIME EN CLOPIDOGREL,clopidogrel,Clopidogrel,exact
DAZIL,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,clopidogrel,Clopidogrel,exact
CLODIPRAL,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,clopidogrel,Clopidogrel,exact
CLOPIDOGREL LDM,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,clopidogrel,Clopidogrel,exact
PLAVIX,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,clopidogrel,Clopidogrel,exact
TRANOXANE,CLORAZEPATE DIPOTASSIQUE,clorazepate dipotassique,,none
CLORAXENE,CLORAZEPATE DIPOTASSIQUE,clorazepate dipotassique,,none
TRANXENE,CLORAZEPATE DIPOTASSIQUE,clorazepate dipotassique,,none
CLOTERMEX,CLOTRIMAZOLE,clotrimazole,Clotrimazole,exact
MYCOTEN,CLOTRIMAZOLE,clotrimazole,Clotrimazole,exact
LEPONEX,CLOZAPINE,clozapine,Clozapine,exact
TUSSICOD,CODEINE,codeine,Codeine,exact
NEO-CODION,CODEINE,codeine,Codeine,exact
EUPHON ADULTE,CODEINE / EXTRAIT SEC AQUEUX D'ERYSIUM OFFICINAL,codeine / extrait sec aqueux d'erysium officinal,Codeine,prefix
NEO-CODION ADULTE,CODEINE CAMPHOSULFONATE,codeine camphosulfonate,Codeine,prefix
NEO-CODION ENFANT,CODEINE CAMPHOSULFONATE EXPRIME EN CODEINE / BENZOATE DE SODIUM,codeine / benzoate de sodium,Codeine,prefix
POLERY ADULTE,CODEINE/EXTRAIT FLUIDE D'ERYSIUM,codeine/extrait fluide d'erysium,Codeine,prefix
COLCHICINE OPOCALCIUM,COLCHICINE,colchicine,Colchicine,exact
COLCHIMED,COLCHICINE CRISTALISEE,colchicine cristalisee,Colchicine,prefix
COLCHIMEX,COLCHICINE CRISTALISEE,colchicine cristalisee,Colchicine,prefix
VITAMINE D3 B.O.N,COLECALCIFEROL,colecalciferol,,none
D-THREE,COLECALCIFEROL,colecalciferol,,none
IDEOS,COLECALCIFEROL  / CALCIUM CARBONATE EXPRIME EN CALCIUM ELEMENT,calcium element,,none
CALCIUM D3 NOVAGENERICS,COLECALCIFEROL  / CALCIUM CARBONATE EXPRIME EN CALCIUM ELEMENT,calcium element,,none
OSSE D3,COLECALCIFEROL  / CALCIUM CARBONATE EXPRIME EN CALCIUM ELEMENT,calcium element,,none
CALCIUM D3 IVAL,COLECALCIFEROL  / CALCIUM CARBONATE EXPRIME EN CALCIUM ELEMENT,calcium element,,none
CALCIUM D3 SOPHAL,COLECALCIFEROL / CALCIUM CARBONATE EXPRIME EN CALCIUM ELEMENT,calcium element,,none
CALCIDOSE VITAMINE D,COLECALCIFEROL / CALCIUM CARBONATE EXPRIME EN CALCIUM ELEMENT,calcium element,,none
FIXECAL,COLECALCIFEROL / CALCIUM CARBONATE EXPRIME EN CALCIUM ELEMENT,calcium element,,none
FERRO SANOL GYN,COMPLEXE DE FER II - GLYCINE SULFATE / ACIDE FOLIQUE,complexe de fer ii - glycine / acide folique,,none
FEROMAX,COMPLEXE D'HYDROXIDE FERRIQUE-SACCHAROSE EXPRIME EN FER FERRIQUE,fer ferrique,,none
VENOFER,COMPLEXE D'HYDROXIDE FERRIQUE-SACCHAROSE EXPRIME EN FER FERRIQUE,fer ferrique,,none
ENCIFER,COMPLEXE D'HYDROXIDE FERRIQUE-SACCHAROSE EXPRIME EN FER FERRIQUE,fer ferrique,,none
OCTAPLEX :,Complexe humain plasmatique prothrombinique,complexe humain plasmatique prothrombinique,,none
FERRUM HAUSMANN GOUTTES,COMPLEXE HYDROXYDE FERRIQUE POLYMALTOSE EXPRIME EN FER FERRIQUE,fer ferrique,,none
TRIFER FOL,COMPLEXE HYDROXYDE FERRIQUE POLYMALTOSE EXPRIME EN FER FERRIQUE / ACIDE FOLIQUE,fer ferrique / acide folique,,none
NOVO FER PLUS,COMPLEXE HYDROXYDE FERRIQUE POLYMALTOSE EXPRIME EN FER FERRIQUE / ACIDE FOLIQUE,fer ferrique / acide folique,,none
RAZIFER,COMPLEXE HYDROXYDE FERRIQUE-SACCHAROSE EXPRIME EN FER FERRIQUE,fer ferrique,,none
VITAM,COMPLEXE VITAMINIQUE,complexe vitaminique,,none
MEGADYN,COMPLEXE VITAMINIQUE + OLIGOELEMENTS,complexe vitaminique + oligoelements,,none
CONCENTRE ACIDE POUR HEMODIALYSE AU BICARBONATE,CONCENTRE ACIDE POUR HEMODIALYSE,concentre acide pour hemodialyse,,none
RENACID A13,CONCENTRE ACIDE POUR HEMODIALYSE AU BICARBONATE  POUDRE,concentre acide pour hemodialyse au bicarbonate  poudre,,none
RENACID A14 RENABIC L14,CONCENTRE ACIDE POUR HEMODIALYSE AU BICARBONATE LIQUIDE,concentre acide pour hemodialyse au bicarbonate liquide,,none
XALKORI,Crizotinib,crizotinib,Crizotinib,exact
CROMOSOL,CROMOGLYCATE DE SODIUM,cromoglycate de sodium,Cromoglicic acid,prefix
EPICO,CROMOGLYCATE DE SODIUM,cromoglycate de sodium,Cromoglicic acid,prefix
CROMOGLYCATE DE SODIUM,CROMOGLYCATE DE SODIUM,cromoglycate de sodium,Cromoglicic acid,prefix
APICROM,CROMOGLYCATE DE SODIUM,cromoglycate de sodium,Cromoglicic acid,prefix
DADCROME,CROMOGLYCATE DE SODIUM,cromoglycate de sodium,Cromoglicic acid,prefix
CROMEDIL 2%,CROMOGLYCATE DE SODIUM,cromoglycate de sodium,Cromoglicic acid,prefix
E-RAX,CROTAMITON,crotamiton,Crotamiton,exact
COBAVIT,CYANCOBALAMINE,cyancobalamine,,none
VITAMINE B12 RAZES,CYANOCOBALAMINE (OU VIT.B12),cyanocobalamine (ou vit.b12),Cyanocobalamin,prefix
PENTOLATE,CYCLOPENTOLATE,cyclopentolate,Cyclopentolate,exact
CICLOPLEGICEDOL,CYCLOPENTOLATE CHLORHYDRATE,cyclopentolate,Cyclopentolate,exact
ENDOXAN,CYCLOPHOSPHAMIDE MONOHYDRATEE EXPRIME EN CYCLOPHOSPHAMIDE,cyclophosphamide,Cyclophosphamide,exact
HEPTADYL,CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
ISOCTINE,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
HEPTAL,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
HEPTAFORT,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
MODESTAMINE,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
LAPETI,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
PERIACTINE,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
PERIAMEX,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
ORYACTINE,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
CIPROMINE,CYPROHEPTADINE CHLORHYDRATE EXPRIME EN CYPROHEPTADINE,cyproheptadine,Cyproheptadine,exact
ZECYTE-100,CYTARABINE,cytarabine,Cytarabine,exact
ARASID 100 - ARASID 500 - ARASID 1000,CYTARABINE,cytarabine,Cytarabine,exact
PRADAXA,DABIGATRAN ETEXILATE MESILATE,dabigatran etexilate mesilate,,none
DTI,DACARBAZINE,dacarbazine,Dacarbazine,exact
DACLA,DACLATASVIR  DICHLORHYDRATE,daclatasvir  dichlorhydrate,Daclatasvir,prefix
FRAGMINE,DALTEPARINE SODIQUE,dalteparine,Dalteparin,exact
DANATROL,DANAZOL,danazol,Danazol,exact
ARANESP,DARBEPOETINE ALFA,darbepoetine alfa,Darbepoetin alfa,prefix
PREZISTA,DARUNAVIR ETHANOLATE EXPRIME EN DARUNAVIR,darunavir,Darunavir,exact
