drug_id,drug_name,category,notes
171,Bumetanide,pharmaceutical,
172,Buprenorphine,pharmaceutical,
173,Bupropion,pharmaceutical,
174,Buspirone,pharmaceutical,
175,Busulfan,pharmaceutical,
176,Butabarbital,pharmaceutical,
177,Butalbital,pharmaceutical,
178,Butorphanol,pharmaceutical,
179,Cabazitaxel,pharmaceutical,
180,Cabergoline,pharmaceutical,
181,Cabotegravir,pharmaceutical,
182,Cabozantinib,pharmaceutical,
183,Calcifediol,pharmaceutical,
184,Calcium Acetate,pharmaceutical,
185,Calcium Carbonate,pharmaceutical,
186,Calcium Citrate,pharmaceutical,
187,Calcium Gluconate,pharmaceutical,
188,Calcium Polycarbophil,pharmaceutical,
189,Camostat,pharmaceutical,
190,Canagliflozin,pharmaceutical,
191,Canakinumab,biological,
192,Candesartan Cilexetil,pharmaceutical,
193,Cangrelor,pharmaceutical,
194,Cannabidiol,pharmaceutical,
195,Capecitabine,pharmaceutical,
196,Capivasertib,pharmaceutical,
197,Capmatinib,pharmaceutical,
198,Captopril,pharmaceutical,
199,Carbamazepine,pharmaceutical,
200,Carbenicillin,pharmaceutical,
201,Carbinoxamine,pharmaceutical,
202,Carbocisteine,pharmaceutical,
203,Carboplatin,pharmaceutical,
204,Carglumic Acid,pharmaceutical,
205,Cariprazine,pharmaceutical,
206,Carisoprodol,pharmaceutical,
207,Carmustine,pharmaceutical,
208,Carvedilol,pharmaceutical,
209,Cedazuridine,pharmaceutical,
210,Cefaclor,pharmaceutical,
211,Cefadroxil,pharmaceutical,
212,Cefamandole,pharmaceutical,
213,Cefdinir,pharmaceutical,
214,Cefditoren,pharmaceutical,
215,Cefixime,pharmaceutical,
216,Cefoperazone,pharmaceutical,
217,Cefotetan,pharmaceutical,
218,Cefpodoxime,pharmaceutical,
219,Cefprozil,pharmaceutical,
220,Cefradine,pharmaceutical,
221,Ceftibuten,pharmaceutical,
222,Cefuroxime,pharmaceutical,
223,Celecoxib,pharmaceutical,
224,Celiprolol,pharmaceutical,
225,Cenobamate,pharmaceutical,
226,Centella Asiatica,pharmaceutical,
227,Cephalexin,pharmaceutical,
228,Ceritinib,pharmaceutical,
229,Cerivastatin,pharmaceutical,
230,Certoparin,pharmaceutical,
231,Cetirizine,pharmaceutical,
232,Chloral Hydrate,pharmaceutical,
233,Chlorambucil,pharmaceutical,
234,Chloramphenicol,pharmaceutical,
235,Chlorcyclizine,pharmaceutical,
236,Chlordiazepoxide,pharmaceutical,
237,Chlorhexidine,pharmaceutical,
238,Chloroquine,pharmaceutical,
239,Chlorpheniramine,pharmaceutical,
240,Chlorpromazine,pharmaceutical,
241,Chlorpropamide,pharmaceutical,
242,Chlorprothixene,pharmaceutical,
243,Chlorthalidone,pharmaceutical,
244,Chlorzoxazone,pharmaceutical,
245,Cholestyramine,pharmaceutical,
246,Cholic Acid,pharmaceutical,
247,Choline C-11,radiopharmaceutical,Unlikely to have food interactions - radiopharmaceutical/imaging agent
248,Chromic Chloride,pharmaceutical,
249,Chromium,pharmaceutical,
250,Chromium Nicotinate,pharmaceutical,
251,Chromium Picolinate,pharmaceutical,
252,Chymotrypsin,pharmaceutical,
253,Cilazapril,pharmaceutical,
254,Cilostazol,pharmaceutical,
255,Cimetidine,pharmaceutical,
256,Cinacalcet,pharmaceutical,
257,Cinolazepam,pharmaceutical,
258,Ciprofloxacin,pharmaceutical,
259,Cisapride,pharmaceutical,
260,Cisplatin,pharmaceutical,
261,Citalopram,pharmaceutical,
262,Cladribine,pharmaceutical,
263,Clarithromycin,pharmaceutical,
264,Clavulanic Acid,pharmaceutical,
265,Clemastine,pharmaceutical,
266,Clidinium,pharmaceutical,
267,Clindamycin,pharmaceutical,
268,Clobazam,pharmaceutical,
269,Clodronic Acid,pharmaceutical,
270,Clofarabine,pharmaceutical,
