w_lgn,w_mech,high,medium,low,insufficient,recall_high,recall_medium,recall_low,recall_insufficient,actionable_rate,avg_fusion,std_fusion,min_fusion,max_fusion
0.4,0.6,692,108,52,37,0.0,0.0,0.0,0.0,0.8998875140607424,0.8131911040214398,0.23828603173116278,0.0012000000000000001,1.0
0.5,0.5,704,99,49,37,0.0,0.0,0.0,0.0,0.9032620922384702,0.8170432016964183,0.23684987004615815,0.0012,1.0
0.55,0.44999999999999996,704,99,49,37,0.0,0.0,0.0,0.0,0.9032620922384702,0.8186212586391522,0.23639818458228543,0.0012,1.0
0.6,0.4,705,99,48,37,0.0,0.0,0.0,0.0,0.9043869516310461,0.8200229476351505,0.23606631728108488,0.0012,1.0
0.65,0.35,705,99,48,37,0.0,0.0,0.0,0.0,0.9043869516310461,0.8212776912370044,0.23582656145700964,0.0012,1.0
0.7,0.30000000000000004,706,99,47,37,0.0,0.0,0.0,0.0,0.905511811023622,0.8224084071244657,0.23565889056539488,0.0011999999999999997,1.0
0.8,0.19999999999999996,706,99,47,37,0.0,0.0,0.0,0.0,0.905511811023622,0.8243666488463223,0.23548511595233626,0.0012000000000000001,1.0
