TM_interactions_ID,texts_ID,start_index,end_index,food,drug
31095,18745,2022,2214,L-citrulline,arginine
31104,18747,732,1124,cholesterol,anacetrapib
31114,18749,929,1177,cholesterol,pravastatin
31117,18750,224,409,nitric oxide,enalapril
31157,18774,1203,1335,oxygen,ferric derisomaltose
31175,18780,742,960,d-glucose,Colesevelam
31177,18780,961,1278,cholesterol,Colesevelam
31179,18781,1190,1414,date,Darolutamide
31194,18790,1426,1637,oxygen,dexamethasone
31201,18795,1912,2042,atropine,dexmedetomidine
31207,18799,483,583,(9z)-lycopene,nitrate
31218,18805,128,274,l-tyrosine,Midostaurin
31220,18806,1133,1257,creatinine,Doripenem
31231,18811,1340,1584,cortisol,aldosterone
31234,18812,414,773,cobalamin,chymotrypsin
31235,18813,964,1154,glycine,vasopressin
31236,18813,1444,1595,glycine,vasopressin
31257,18822,78,294,zinc,cholesterol
31258,18823,1175,1337,"24,25-dihydroxyvitamin d3",warfarin
31264,18827,1288,1512,cholesterol,praliciguat
31272,18830,1654,1836,testosterone,Metformin
31273,18831,1122,1302,capsaicin,pregabalin
31274,18831,1303,1403,capsaicin,pregabalin
31276,18833,434,616,atropine,metoclopramide
31277,18833,941,1100,atropine,mexiletine
31278,18833,1101,1238,atropine,metoclopramide
31279,18833,1101,1238,atropine,mexiletine
31284,18835,1231,1487,arginine,ornithine
31285,18835,1583,1718,arginine,ornithine
31288,18837,0,62,histamine,Azelastine
31289,18837,475,632,histamine,azelastine
31319,18855,300,557,methanol,Cefpodoxime
31322,18857,80,179,eicosapentaenoic acid,doconexent
31352,18873,852,1042,arachidonic acid,ketoprofen
31358,18875,459,643,sodium,hydrochlorothiazide
31359,18875,802,1003,aldosterone,amiloride
31365,18877,393,792,diphenhydramine,acetaminophen
31366,18878,496,636,morphine,clonidine
31373,18884,94,233,crustaceans,Arginine
31375,18886,1428,1578,calcium,cinacalcet
31376,18886,2146,2397,calcium,cinacalcet
31396,18897,995,1136,morphine,gabapentin
31398,18898,962,1109,zinc,benzoyl peroxide
31417,18908,165,355,water,Carbon monoxide
31420,18911,98,170,sulfide,doxepin
31441,18918,139,285,pyruvic acid,dihydroxyacetone
31442,18918,139,285,d-glucose,dihydroxyacetone
31445,18920,319,544,blackberry,xylitol
31451,18924,151,349,d-glucose,Empagliflozin
31464,18928,0,64,histamine,Triclosan
31465,18928,533,626,histamine,triclosan
31466,18928,999,1105,histamine,triclosan
31471,18930,76,266,sodium,Rufinamide
31477,18934,0,214,glutathione,buthionine sulfoximine
31479,18935,680,820,serotonin,Paroxetine
31497,18944,265,318,d-glucose,Bupivacaine
31498,18944,1511,1633,spread,bupivacaine
31501,18947,1104,1301,agar,ofloxacin
31508,18952,279,515,ascorbic acid,dexamethasone
31514,18956,313,477,dopamine,Docarpamine
31517,18958,870,1059,cholesterol,atorvastatin
31526,18963,2010,2110,spread,bupivacaine
31543,18974,107,324,sodium,desmopressin
31544,18974,387,565,sodium,desmopressin
31545,18974,1495,1672,sodium,Furosemide
31564,18981,481,669,d-glucose,Cyproheptadine
31570,18985,616,698,atropine,isoflurane
31571,18985,616,698,atropine,dexmedetomidine
31577,18989,715,969,"24,25-dihydroxyvitamin d3",alfacalcidol
31583,18992,1105,1278,phytomenadione,warfarin
31611,19005,1166,1307,nicotinic acid,lovastatin
31612,19006,1024,1238,l-asparagine,nicotine
31626,19016,181,307,serotonin,ondansetron
31627,19017,931,1061,Digoxin,bepridil
31628,19017,1062,1313,digoxin,bepridil
31629,19017,1584,1692,digoxin,bepridil
31635,19021,947,1152,d-glucose,vildagliptin
31637,19021,1642,1849,d-glucose,vildagliptin
31639,19022,0,48,theophylline,nifedipine
31643,19025,141,329,shortening,Verapamil
31644,19025,141,329,shortening,ibutilide
31649,19029,80,370,dopamine,enoximone
31650,19029,1328,1504,dopamine,enoximone
31656,19030,1519,1637,ascorbic acid,nicotine
31671,19037,55,182,iron,deferiprone
31677,19041,0,111,d-glucose,maltitol
31679,19041,341,456,d-glucose,maltitol
31680,19041,341,456,sucrose,maltitol
31689,19045,1065,1199,calcium,nandrolone decanoate
31692,19046,457,599,oxygen,nitrous oxide
31693,19047,1794,1994,(e)-aconitic acid,baclofen
31696,19050,1352,1528,morphine,magnesium sulfate
31704,19053,1876,2138,creatinine,Zoledronic acid
31708,19053,1876,2138,calcium,Zoledronic acid
31716,19056,234,409,dopamine,erythropoietin
31718,19057,1810,2041,iron,erythropoietin
31745,19074,1351,1617,(e)-aconitic acid,sodium bicarbonate
31750,19076,871,1001,caffeine,zolpidem
31751,19077,1577,1742,guanosine triphosphate,methylphenidate
31765,19083,1304,1562,atropine,clonidine
31766,19083,1563,1670,atropine,clonidine
31767,19083,1671,1887,atropine,clonidine
31781,19090,936,1177,estradiol,enalapril
31783,19092,1708,1840,folic acid,Methotrexate
31785,19094,0,128,atropine,dobutamine
31786,19094,129,398,atropine,dobutamine
31791,19095,1269,1491,pyruvic acid,isocitric acid
31794,19095,1269,1491,lactic acid,isocitric acid
31796,19095,1269,1491,l-alanine,isocitric acid
31801,19096,636,820,l-dopa,Phenylalanine
31803,19098,1178,1376,shortening,atenolol
31804,19099,592,774,l-dopa,Selegiline
31805,19099,775,896,l-dopa,selegiline
31807,19101,0,116,aldosterone,irbesartan
31817,19104,1639,1802,cholesterol,barley
31825,19107,1167,1314,selenium,irinotecan
31826,19107,1423,1565,Selenomethionine,irinotecan
31831,19110,179,368,d-glucose,omega-3-acid ethyl esters
31834,19111,0,82,adenosine,caffeine
31835,19111,0,82,adenosine,enprofylline
31837,19111,701,867,adenosine,caffeine
31838,19111,701,867,adenosine,enprofylline
31861,19126,1101,1368,cream,nicotinamide
31866,19126,1369,1665,cream,nicotinamide
31874,19132,0,114,3-phenyl-2-propenal,nicotine
31875,19132,115,248,3-phenyl-2-propenal,nicotine
31880,19134,1115,1277,dehydroepiandrosterone,testosterone
31889,19138,665,904,cholesterol,atorvastatin
31914,19150,407,501,phytomenadione,warfarin
31926,19158,2699,2931,testosterone,sildenafil
31928,19160,1640,2063,shortening,doxorubicin
31929,19161,0,141,superoxide,cetirizine
31936,19164,1581,1713,l-serine,chlorhexidine
31939,19166,1551,1681,(e)-aconitic acid,antimony
31945,19168,1017,1170,(e)-aconitic acid,Nizatidine
31951,19170,597,1037,calcium,zoledronic acid
31962,19175,993,1153,iron,erythropoietin
31972,19181,334,495,Arginine,ammonia
31973,19181,334,495,l-citrulline,ammonia
31980,19187,1388,1599,testosterone,progesterone
31983,19189,961,1186,phosphorus,Canagliflozin
31984,19189,961,1186,calcitriol,Canagliflozin
31985,19189,1480,1674,phosphorus,Canagliflozin
31986,19189,1480,1674,calcitriol,Canagliflozin
31993,19194,1286,1422,aldosterone,angiotensin II
31997,19197,878,995,testosterone,leptin
32018,19205,0,199,nitrate,hydralazine
32019,19205,200,535,nitrate,hydralazine
32021,19206,1720,1849,aldosterone,quinapril
32025,19208,2813,3110,l-alanine,pembrolizumab
32033,19211,856,1100,gelatin,aprotinin
32048,19222,0,175,iron,Deferasirox
32049,19222,876,1232,iron,deferasirox
32051,19222,1648,1843,iron,deferasirox
32059,19225,0,140,(e)-aconitic acid,lafutidine
32060,19225,931,1041,(e)-aconitic acid,lafutidine
32065,19229,0,96,iron,deferasirox
32066,19229,97,311,iron,deferasirox
32067,19229,312,501,iron,deferasirox
32074,19234,963,1103,prostaglandin E2,naproxen
32078,19236,1299,1394,ethanol,barium
32081,19238,114,470,"24,25-dihydroxyvitamin d3",calcitriol
32096,19240,1702,1833,l-tyrosine,phenylalanine
32097,19241,0,124,morphine,methadone
32098,19241,997,1313,morphine,methadone
32099,19241,1714,1892,morphine,methadone
32110,19249,661,917,uric acid,cilnidipine
32111,19249,661,917,creatinine,cilnidipine
32115,19251,1188,1303,water,fexofenadine
32145,19267,773,1034,Testosterone,testosterone
32158,19275,0,167,folic acid,betaine
32159,19275,0,167,folic acid,choline
32161,19275,1237,1507,Creatine,choline
32165,19278,87,311,dopamine,cocaine
32168,19279,1224,1471,d-glucose,atorvastatin
32189,19287,600,815,benzyl alcohol,ATX-101
32190,19288,485,673,calcium,diltiazem
32191,19289,0,107,Melatonin,omeprazole
32192,19289,0,107,L-tryptophan,omeprazole
32193,19289,1147,1337,melatonin,omeprazole
32194,19289,1536,1716,melatonin,omeprazole
32195,19290,790,898,epinephrine,caffeine
32206,19293,393,445,morphine,tramadol
32216,19298,118,262,dopamine,Amphetamine
32221,19301,1784,1938,ethanol,hydrogen
32226,19304,832,1036,iron,phytic acid
32228,19305,1790,1936,calcium,calcitriol
32240,19312,1954,2123,sucrose,lactulose
32241,19312,1954,2123,sucrose,rhamnose
32247,19316,812,1080,3-methoxy-4-hydroxyphenylacetic acid,haloperidol
32248,19316,1081,1240,3-methoxy-4-hydroxyphenylacetic acid,haloperidol
32253,19318,538,642,sucrose,sorbitol
32259,19322,167,292,Platinum,gemcitabine
32262,19323,679,1009,histamine,terfenadine
32281,19330,396,504,ethanol,acetate
32282,19330,505,653,l-carnitine,acetate
32289,19333,340,481,shortening,lormetazepam
32312,19341,95,291,Testosterone,testosterone
32321,19347,1574,1940,cholesterol,anacetrapib
32323,19349,923,1182,oxygen,medroxyprogesterone acetate
32336,19357,610,770,atropine,sevoflurane
32337,19357,610,770,atropine,rocuronium
32346,19360,0,96,atropine,pirenzepine
32361,19370,608,748,histamine,Loratadine
32364,19372,0,144,atropine,cimetidine
32365,19372,145,335,(e)-aconitic acid,Cimetidine
32366,19372,336,623,(e)-aconitic acid,cimetidine
32368,19372,624,881,(e)-aconitic acid,Cimetidine
32377,19378,1501,1725,cocoa powder,cholesterol
32394,19389,0,85,cholesterol,lovastatin
32401,19393,580,796,calcium,alfacalcidol
32402,19393,580,796,calcium,paricalcitol
32403,19394,1396,1587,d-glucose,Pioglitazone
32405,19394,1949,2131,d-glucose,pioglitazone
32413,19395,1382,1501,d-glucose,liraglutide
32414,19395,1673,1780,cholesterol,liraglutide
32426,19397,1058,1441,date,flumazenil
32434,19402,200,329,capsaicin,acetylsalicylic acid
32457,19414,1421,1635,l-dopa,Piribedil
32458,19415,0,85,Iron,Lactoferrin
32466,19420,1582,1762,l-serine,propofol
32490,19430,1394,1533,codeine,diclofenac
32524,19438,770,1175,morphine,bupivacaine
32531,19442,168,353,d-glucose,Dexamethasone
32543,19447,412,865,nitric oxide,ketorolac
32544,19447,866,1177,nitric oxide,tyramine
32546,19447,866,1177,nitric oxide,phenylephrine
32548,19447,866,1177,nitric oxide,clonidine
32553,19447,866,1177,adenosine,phenylephrine
32555,19447,866,1177,adenosine,clonidine
32556,19447,1178,1509,nitric oxide,phenylephrine
32557,19447,1178,1509,nitric oxide,clonidine
32558,19448,1302,1501,alpha-tocopherol,allopurinol
32575,19453,934,1100,epiestradiol,estrone sulfate
32580,19454,2025,2247,iron,silicon
