head	relation	tail
1H-Indole-3-methanol	inhibits	Solute carrier organic anion transporter family member 1B3
Atorvastatin	inhibits	Cytochrome P450 3A4
Atorvastatin	inhibits	Solute carrier organic anion transporter family member 1B3
Atorvastatin	inhibits	Solute carrier organic anion transporter family member 1B1
p-Mentha-1,8-dien-7-ol	inhibits	Cytochrome P450 1B1
dihydrosphingosine	inhibits	Cytochrome P450 2D6
L-threo-sphinganine	inhibits	Cytochrome P450 2D6
Ligusticide	inhibits	Solute carrier organic anion transporter family member 1B3
Ligustilide	inhibits	Solute carrier organic anion transporter family member 1B3
Ligusticide	inhibits	Solute carrier organic anion transporter family member 1B1
Ligustilide	inhibits	Solute carrier organic anion transporter family member 1B1
Pachyrrhizin	inhibits	Cytochrome P450 3A4
Pachyrrhizin	inhibits	Solute carrier organic anion transporter family member 1B3
Pachyrrhizin	inhibits	Solute carrier organic anion transporter family member 1B1
5,7-Dimethoxycoumarin	inhibits	Solute carrier organic anion transporter family member 1B1
5,7-Dimethoxycoumarin	inhibits	Solute carrier organic anion transporter family member 1B3
(R)-Glabridin	inhibits	Cytochrome P450 3A4
Myristicin	inhibits	Cytochrome P450 3A4
3,8''-Biapigenin	inhibits	Cytochrome P450 3A4
Dihydroclusin	inhibits	Cytochrome P450 3A4
Avocadyne	inhibits	Solute carrier organic anion transporter family member 1B1
Avocadyne	inhibits	Solute carrier organic anion transporter family member 1B3
Avocadene	inhibits	Solute carrier organic anion transporter family member 1B3
Avocadene	inhibits	Solute carrier organic anion transporter family member 1B1
Butylparaben	inhibits	Cytochrome P450 2C19
2,4,5-Trimethoxybenzaldehyde	inhibits	Solute carrier organic anion transporter family member 1B3
Roxarsone	inhibits	Cytochrome P450 2C19
Roxarsone	inhibits	Solute carrier organic anion transporter family member 1B3
Roxarsone	inhibits	Solute carrier organic anion transporter family member 1B1
Orcein	inhibits	Cytochrome P450 2C19
Orcein	inhibits	Cytochrome P450 2D6
Orcein	inhibits	Cytochrome P450 2C9
Methylxanthoxylin	inhibits	Cytochrome P450 3A4
5alpha-Cholestane	inhibits	Solute carrier organic anion transporter family member 1B1
5beta-Cholestane	inhibits	Solute carrier organic anion transporter family member 1B1
5alpha-Cholestane	inhibits	Solute carrier organic anion transporter family member 1B3
5beta-Cholestane	inhibits	Solute carrier organic anion transporter family member 1B3
Lathosterol	inhibits	Solute carrier organic anion transporter family member 1B1
Lathosterol	inhibits	Solute carrier organic anion transporter family member 1B3
Stigmasta-4-22-dien-3-one	inhibits	Solute carrier organic anion transporter family member 1B1
Stigmasta-4-22-dien-3-one	inhibits	Solute carrier organic anion transporter family member 1B3
Glucosan	inhibits	Solute carrier organic anion transporter family member 1B1
Glucosan	inhibits	Solute carrier organic anion transporter family member 1B3
Rhodinyl acetate	inhibits	Solute carrier organic anion transporter family member 1B3
Rhodinyl acetate	inhibits	Solute carrier organic anion transporter family member 1B1
3-Methylxanthine	inhibits	Solute carrier organic anion transporter family member 1B3
3-Methylxanthine	inhibits	Solute carrier organic anion transporter family member 1B1
Phenols	inhibits	Cytochrome P450 1A2
Piperine	inhibits	Solute carrier organic anion transporter family member 1B1
Chavicine	inhibits	Solute carrier organic anion transporter family member 1B1
Isochavicine	inhibits	Solute carrier organic anion transporter family member 1B1
Isopiperine	inhibits	Solute carrier organic anion transporter family member 1B1
Piperine	inhibits	Solute carrier organic anion transporter family member 1B3
Chavicine	inhibits	Solute carrier organic anion transporter family member 1B3
Isochavicine	inhibits	Solute carrier organic anion transporter family member 1B3
Isopiperine	inhibits	Solute carrier organic anion transporter family member 1B3
Gallic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Gallic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Patulin	inhibits	Solute carrier organic anion transporter family member 1B3
Patulin	inhibits	Solute carrier organic anion transporter family member 1B1
Nonivamide	inhibits	Cytochrome P450 2C19
Nonivamide	inhibits	Cytochrome P450 3A4
Nonivamide	inhibits	Cytochrome P450 2C9
Malonoben	inhibits	Cytochrome P450 2C19
Malonoben	inhibits	Cytochrome P450 3A4
Malonoben	inhibits	Cytochrome P450 2C9
Dihydrocapsaicin	inhibits	Cytochrome P450 2C19
Dihydrocapsaicin	inhibits	Cytochrome P450 2C9
Theobromine	inhibits	Solute carrier organic anion transporter family member 1B3
Theobromine	inhibits	Solute carrier organic anion transporter family member 1B1
(9Z)-beta,beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
(13Z)-beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
cis-b,b-Carotene	inhibits	Solute carrier organic anion transporter family member 1B3
(9Z)-beta,beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B1
Carotene	inhibits	Solute carrier organic anion transporter family member 1B1
beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B1
(13Z)-beta-Carotene	inhibits	Solute carrier organic anion transporter family member 1B1
cis-b,b-Carotene	inhibits	Solute carrier organic anion transporter family member 1B1
Quinine	inhibits	Cytochrome P450 2D6
Quinine	inhibits	Solute carrier organic anion transporter family member 1B1
Quinine	inhibits	ATP-dependent translocase ABCB1
Di-2-propenyl-sulfane	inhibits	Solute carrier organic anion transporter family member 1B1
Di-2-propenyl-sulfane	inhibits	Solute carrier organic anion transporter family member 1B3
(-)-alpha-Narcotine	inhibits	Cytochrome P450 2C19
(-)-alpha-Narcotine	inhibits	Cytochrome P450 3A4
(-)-alpha-Narcotine	inhibits	Cytochrome P450 2C9
Piperazine	inhibits	Solute carrier organic anion transporter family member 1B1
Piperazine	inhibits	Solute carrier organic anion transporter family member 1B3
Kinetin	inhibits	Solute carrier organic anion transporter family member 1B1
Kinetin	inhibits	Solute carrier organic anion transporter family member 1B3
Kinetin	inhibits	Cytochrome P450 3A4
Safrole	inhibits	Cytochrome P450 3A4
Safrole	inhibits	Cytochrome P450 1A2
Safrole	inhibits	Solute carrier organic anion transporter family member 1B1
Safrole	inhibits	Solute carrier organic anion transporter family member 1B3
Amlodipine	inhibits	ATP-dependent translocase ABCB1
(2S)-pinocembrin	inhibits	Cytochrome P450 1A1
(2S)-pinocembrin	inhibits	Cytochrome P450 1B1
(2S)-pinocembrin	inhibits	Cytochrome P450 1A2
(2S)-pinocembrin	inhibits	Solute carrier organic anion transporter family member 1B1
(2S)-pinocembrin	inhibits	Solute carrier organic anion transporter family member 1B3
Stigmasterol	inhibits	Solute carrier organic anion transporter family member 1B1
Stigmasterol	inhibits	Solute carrier organic anion transporter family member 1B3
Cortisone	inhibits	Cytochrome P450 3A4
Cortisone	inhibits	Solute carrier organic anion transporter family member 1B1
Cortisone	inhibits	Solute carrier organic anion transporter family member 1B3
Glucokinin	inhibits	Solute carrier organic anion transporter family member 1B3
Glucokinin	inhibits	Solute carrier organic anion transporter family member 1B1
Pantoprazole	inhibits	Solute carrier organic anion transporter family member 1B3
Pantoprazole	inhibits	Solute carrier organic anion transporter family member 1B1
Omeprazole, BAN, INN, JAN, USA	inhibits	Cytochrome P450 2C19
Omeprazole, BAN, INN, JAN, USA	inhibits	Cytochrome P450 3A4
Phosphatidylcholine O-34:2	inhibits	Solute carrier organic anion transporter family member 1B3
Phosphatidylcholine O-34:2	inhibits	Solute carrier organic anion transporter family member 1B1
beta-Amyrin acetate	inhibits	Solute carrier organic anion transporter family member 1B1
beta-Amyrin acetate	inhibits	Solute carrier organic anion transporter family member 1B3
Nootkatone	inhibits	Cytochrome P450 2C19
5,6-dimethyl-8-isopropenylbicyclo[4.4.0]dec-1-en-3-one	inhibits	Cytochrome P450 2C19
3-Methylsalicylic acid	inhibits	Solute carrier organic anion transporter family member 1B1
3-Methylsalicylic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Sarsasapogenin	inhibits	Solute carrier organic anion transporter family member 1B3
Sarsasapogenin	inhibits	Solute carrier organic anion transporter family member 1B1
3b,5a,6b-Cholestanetriol	inhibits	Solute carrier organic anion transporter family member 1B1
3b,5a,6b-Cholestanetriol	inhibits	Solute carrier organic anion transporter family member 1B3
7-Ketocholesterol	inhibits	Solute carrier organic anion transporter family member 1B1
7-Ketocholesterol	inhibits	Solute carrier organic anion transporter family member 1B3
Fenugrin A	inhibits	Solute carrier organic anion transporter family member 1B3
Fenugrin A	inhibits	Solute carrier organic anion transporter family member 1B1
Sphondin	inhibits	Cytochrome P450 3A4
Sphondin	inhibits	Solute carrier organic anion transporter family member 1B1
Sphondin	inhibits	Solute carrier organic anion transporter family member 1B3
Sphondin	inhibits	Cytochrome P450 1A1
Estradiol	inhibits	Cytochrome P450 3A4
Estradiol	inhibits	Solute carrier organic anion transporter family member 1B1
Estradiol	inhibits	Solute carrier organic anion transporter family member 1B3
Estradiol	inhibits	Cytochrome P450 1B1
Diphenhydramine	inhibits	Cytochrome P450 2D6
Kaempferide	inhibits	Cytochrome P450 1B1
Kaempferide 3-[glucopyranosyl-(1->?)-glucopyranoside]	inhibits	Cytochrome P450 1B1
Kaempferide	inhibits	Cytochrome P450 1A1
Kaempferide 3-[glucopyranosyl-(1->?)-glucopyranoside]	inhibits	Cytochrome P450 1A1
Kaempferide	inhibits	Cytochrome P450 1A2
Kaempferide 3-[glucopyranosyl-(1->?)-glucopyranoside]	inhibits	Cytochrome P450 1A2
Emodin	inhibits	Cytochrome P450 2C19
Emodin	inhibits	Cytochrome P450 3A4
Emodin	inhibits	Cytochrome P450 2C9
Emodin	inhibits	Solute carrier organic anion transporter family member 1B3
Emodin	inhibits	Solute carrier organic anion transporter family member 1B1
Emodin	inhibits	Cytochrome P450 1A2
Emodin	inhibits	Cytochrome P450 1B1
Physcion	inhibits	Solute carrier organic anion transporter family member 1B1
Physcion	inhibits	Solute carrier organic anion transporter family member 1B3
Chrysophanol	inhibits	Solute carrier organic anion transporter family member 1B3
Chrysophanol	inhibits	Solute carrier organic anion transporter family member 1B1
Rhein	inhibits	Cytochrome P450 3A4
Loperamide	inhibits	Cytochrome P450 2D6
Loperamide	inhibits	Cytochrome P450 3A4
Loperamide	inhibits	ATP-dependent translocase ABCB1
Sulphadimethoxine	inhibits	Solute carrier organic anion transporter family member 1B3
Sulphadimethoxine	inhibits	Solute carrier organic anion transporter family member 1B1
trans-2-Methoxycinnamic acid	inhibits	Solute carrier organic anion transporter family member 1B3
trans-2-Methoxycinnamic acid	inhibits	Solute carrier organic anion transporter family member 1B1
N-Acetyl-L-phenylalanine	inhibits	Solute carrier organic anion transporter family member 1B3
N-Acetyl-L-phenylalanine	inhibits	Solute carrier organic anion transporter family member 1B1
Lipoic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Lipoic acid	inhibits	Solute carrier organic anion transporter family member 1B1
(-)-Arctigenin	inhibits	Cytochrome P450 2C19
2,4-Dichlorophenoxyacetic acid	inhibits	Solute carrier organic anion transporter family member 1B1
2,4-Dichlorophenoxyacetic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Ethoxyquin	inhibits	Cytochrome P450 2C19
Ethoxyquin	inhibits	Cytochrome P450 2D6
Ethoxyquin	inhibits	Cytochrome P450 2C9
Ethoxyquin	inhibits	Solute carrier organic anion transporter family member 1B1
Ethoxyquin	inhibits	Solute carrier organic anion transporter family member 1B3
2,4-Dimethylquinoline	inhibits	Cytochrome P450 1A2
1,4-Dimethylnapthalene	inhibits	Cytochrome P450 1A2
2,6-Dimethylquinoline	inhibits	Cytochrome P450 1A2
kaempferol 3-rhamnoside-7-glucoside	inhibits	Cytochrome P450 3A4
Glycyrrhetic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Glycyrrhetic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Aesculetin	inhibits	Solute carrier organic anion transporter family member 1B1
Aesculetin	inhibits	Solute carrier organic anion transporter family member 1B3
Daphnetin	inhibits	Cytochrome P450 2D6
Daphnetin	inhibits	Solute carrier organic anion transporter family member 1B3
Daphnetin	inhibits	Solute carrier organic anion transporter family member 1B1
alpha-Humulene	inhibits	Solute carrier organic anion transporter family member 1B3
Humulene-alpha	inhibits	Solute carrier organic anion transporter family member 1B3
alpha-Humulene	inhibits	Solute carrier organic anion transporter family member 1B1
Humulene-alpha	inhibits	Solute carrier organic anion transporter family member 1B1
Escitalopram	inhibits	Cytochrome P450 2C19
Escitalopram	inhibits	Cytochrome P450 3A4
Escitalopram	inhibits	Cytochrome P450 2C9
Pelanin	inhibits	Solute carrier organic anion transporter family member 1B1
Pelanin	inhibits	Solute carrier organic anion transporter family member 1B3
Oxytetracycline	inhibits	Solute carrier organic anion transporter family member 1B1
Oxytetracycline	inhibits	Solute carrier organic anion transporter family member 1B3
Hyperin	inhibits	Cytochrome P450 2D6
Hesperetin	inhibits	Cytochrome P450 1A1
Hesperetin	inhibits	Cytochrome P450 1B1
Hesperetin	inhibits	Cytochrome P450 2C19
Hesperetin	inhibits	Cytochrome P450 3A4
Hesperetin	inhibits	Cytochrome P450 2D6
Hesperetin	inhibits	Cytochrome P450 2C9
Hesperetin	inhibits	Solute carrier organic anion transporter family member 1B1
Hesperetin	inhibits	Solute carrier organic anion transporter family member 1B3
Schisantherin A	inhibits	Cytochrome P450 3A4
Phenylhydrazine	inhibits	Cytochrome P450 1A2
Phenylhydrazine	inhibits	Cytochrome P450 2C19
Phenylhydrazine	inhibits	Cytochrome P450 2C9
Phenylhydrazine	inhibits	Cytochrome P450 2D6
Phenylhydrazine	inhibits	Cytochrome P450 3A4
Pseudoephedrine	inhibits	Cytochrome P450 2C19
Pseudoephedrine	inhibits	Cytochrome P450 2C9
Citrullin	inhibits	Solute carrier organic anion transporter family member 1B1
L-Citrulline	inhibits	Solute carrier organic anion transporter family member 1B1
Citrullin	inhibits	Solute carrier organic anion transporter family member 1B3
L-Citrulline	inhibits	Solute carrier organic anion transporter family member 1B3
Bilirubin	inhibits	Solute carrier organic anion transporter family member 1B3
4E,15Z-Bilirubin IXa	inhibits	Solute carrier organic anion transporter family member 1B3
Bilirubin	inhibits	Solute carrier organic anion transporter family member 1B1
4E,15Z-Bilirubin IXa	inhibits	Solute carrier organic anion transporter family member 1B1
Estrone sulfate	inhibits	Solute carrier organic anion transporter family member 1B1
Boldione	inhibits	Solute carrier organic anion transporter family member 1B1
Boldione	inhibits	Solute carrier organic anion transporter family member 1B3
Paeonol	inhibits	Cytochrome P450 3A4
Paeonol	inhibits	Solute carrier organic anion transporter family member 1B3
Paeonol	inhibits	Solute carrier organic anion transporter family member 1B1
Isoginkgetin	inhibits	Cytochrome P450 3A4
Isoginkgetin	inhibits	Solute carrier organic anion transporter family member 1B3
Protoporphyrin	inhibits	Cytochrome P450 2C19
Protoporphyrin	inhibits	Cytochrome P450 2C9
Protoporphyrin	inhibits	Solute carrier organic anion transporter family member 1B3
1-Acetoxy-2-hydroxy-16-heptadecyn-4-one	inhibits	Solute carrier organic anion transporter family member 1B3
1-Acetoxy-2-hydroxy-16-heptadecyn-4-one	inhibits	Solute carrier organic anion transporter family member 1B1
5,7-Dihydroxyisoflavone	inhibits	Solute carrier organic anion transporter family member 1B1
5,7-Dihydroxyisoflavone	inhibits	Solute carrier organic anion transporter family member 1B3
Triacetin	inhibits	Solute carrier organic anion transporter family member 1B1
Triacetin	inhibits	Solute carrier organic anion transporter family member 1B3
Isokobusone	inhibits	Cytochrome P450 3A4
Isokobusone	inhibits	Solute carrier organic anion transporter family member 1B1
Isokobusone	inhibits	Solute carrier organic anion transporter family member 1B3
2-Indolecarboxylic acid	inhibits	Solute carrier organic anion transporter family member 1B1
2-Indolecarboxylic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Kynuramine	inhibits	Solute carrier organic anion transporter family member 1B3
Kynuramine	inhibits	Solute carrier organic anion transporter family member 1B1
Spermine	inhibits	Cytochrome P450 2C19
Diferuloylspermine	inhibits	Cytochrome P450 2C19
Betulin	inhibits	Solute carrier organic anion transporter family member 1B1
Betulin	inhibits	Solute carrier organic anion transporter family member 1B3
FIC	inhibits	Solute carrier organic anion transporter family member 1B3
FIC	inhibits	Solute carrier organic anion transporter family member 1B1
Bergapten	inhibits	Cytochrome P450 2C19
Bergapten	inhibits	Cytochrome P450 2D6
Bergapten	inhibits	Cytochrome P450 3A4
Bergapten	inhibits	Cytochrome P450 2C9
Bergapten	inhibits	Solute carrier organic anion transporter family member 1B1
Bergapten	inhibits	Solute carrier organic anion transporter family member 1B3
Bergapten	inhibits	Cytochrome P450 1A1
Bergapten	inhibits	Cytochrome P450 1A2
17alpha-ethynylestradiol	inhibits	Cytochrome P450 2B6
17alpha-ethynylestradiol	inhibits	Solute carrier organic anion transporter family member 1B3
17alpha-ethynylestradiol	inhibits	Cytochrome P450 3A4
Curcumin	inhibits	Cytochrome P450 2C9
Curcumin	inhibits	Solute carrier organic anion transporter family member 1B1
Curcumin	inhibits	Solute carrier organic anion transporter family member 1B3
Curcumin	inhibits	ATP-dependent translocase ABCB1
[8]-Shogaol	inhibits	Cytochrome P450 1A2
cis-[6]-Shogaol	inhibits	Cytochrome P450 1A2
[6]-Shogaol	inhibits	Cytochrome P450 1A2
1-(3,4-Dimethoxyphenyl)-4-decen-3-one	inhibits	Cytochrome P450 1A2
[8]-Shogaol	inhibits	Cytochrome P450 2B6
cis-[6]-Shogaol	inhibits	Cytochrome P450 2B6
[6]-Shogaol	inhibits	Cytochrome P450 2B6
1-(3,4-Dimethoxyphenyl)-4-decen-3-one	inhibits	Cytochrome P450 2B6
[8]-Shogaol	inhibits	Cytochrome P450 2C8
cis-[6]-Shogaol	inhibits	Cytochrome P450 2C8
[6]-Shogaol	inhibits	Cytochrome P450 2C8
1-(3,4-Dimethoxyphenyl)-4-decen-3-one	inhibits	Cytochrome P450 2C8
[8]-Shogaol	inhibits	Cytochrome P450 2C9
cis-[6]-Shogaol	inhibits	Cytochrome P450 2C9
[6]-Shogaol	inhibits	Cytochrome P450 2C9
1-(3,4-Dimethoxyphenyl)-4-decen-3-one	inhibits	Cytochrome P450 2C9
[8]-Shogaol	inhibits	Cytochrome P450 3A4
cis-[6]-Shogaol	inhibits	Cytochrome P450 3A4
[6]-Shogaol	inhibits	Cytochrome P450 3A4
1-(3,4-Dimethoxyphenyl)-4-decen-3-one	inhibits	Cytochrome P450 3A4
quinolinate	inhibits	Cytochrome P450 3A4
quinolinate	inhibits	Solute carrier organic anion transporter family member 1B1
quinolinate	inhibits	Solute carrier organic anion transporter family member 1B3
Eugenol	inhibits	Cytochrome P450 3A4
Eugenol	inhibits	Solute carrier organic anion transporter family member 1B1
Eugenol	inhibits	Solute carrier organic anion transporter family member 1B3
2-Methylthioribosyl-trans-zeatin	inhibits	Cytochrome P450 2D6
2-Methylthioribosyl-trans-zeatin	inhibits	Cytochrome P450 3A4
Plumbagin	inhibits	Cytochrome P450 1A1
Plumbagin	inhibits	Cytochrome P450 1A2
Plumbagin	inhibits	Cytochrome P450 1B1
Plumbagin	inhibits	Cytochrome P450 2D6
Plumbagin	inhibits	Cytochrome P450 2C9
Plumbagin	inhibits	Cytochrome P450 2C19
Plumbagin	inhibits	Cytochrome P450 3A4
Yamogenin	inhibits	Solute carrier organic anion transporter family member 1B3
Diosgenin	inhibits	Solute carrier organic anion transporter family member 1B3
Yamogenin	inhibits	Solute carrier organic anion transporter family member 1B1
Diosgenin	inhibits	Solute carrier organic anion transporter family member 1B1
Neotigonenin	inhibits	Solute carrier organic anion transporter family member 1B1
Epismilagenin	inhibits	Solute carrier organic anion transporter family member 1B1
Episarsasapogenin	inhibits	Solute carrier organic anion transporter family member 1B1
Tigogenin	inhibits	Solute carrier organic anion transporter family member 1B1
Neotigonenin	inhibits	Solute carrier organic anion transporter family member 1B3
Epismilagenin	inhibits	Solute carrier organic anion transporter family member 1B3
Episarsasapogenin	inhibits	Solute carrier organic anion transporter family member 1B3
Tigogenin	inhibits	Solute carrier organic anion transporter family member 1B3
Juglone	inhibits	Solute carrier organic anion transporter family member 1B1
Juglone	inhibits	Solute carrier organic anion transporter family member 1B3
N-Methyl-D-aspartic acid	inhibits	Solute carrier organic anion transporter family member 1B3
N-Methyl-D-aspartic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Endrin	inhibits	Solute carrier organic anion transporter family member 1B1
Endrin	inhibits	Solute carrier organic anion transporter family member 1B3
Catechin	inhibits	Solute carrier organic anion transporter family member 1B1
Catechin	inhibits	Solute carrier organic anion transporter family member 1B3
Saccharin	inhibits	Solute carrier organic anion transporter family member 1B3
Saccharin, ammonium salt	inhibits	Solute carrier organic anion transporter family member 1B3
Saccharin	inhibits	Solute carrier organic anion transporter family member 1B1
Saccharin, ammonium salt	inhibits	Solute carrier organic anion transporter family member 1B1
Quercitrin	inhibits	Solute carrier organic anion transporter family member 1B1
Quercitrin	inhibits	Solute carrier organic anion transporter family member 1B3
Trigonelline	inhibits	Solute carrier organic anion transporter family member 1B1
Trigonelline	inhibits	Solute carrier organic anion transporter family member 1B3
Chrysoeriol	inhibits	Cytochrome P450 1A2
Chrysoeriol 7-(2''-glucuronylglucuronide)	inhibits	Cytochrome P450 1A2
Chrysoeriol 7-disulfoglucoside	inhibits	Cytochrome P450 1A2
Chrysoeriol 7-triglucuronide	inhibits	Cytochrome P450 1A2
Chrysoeriol	inhibits	Cytochrome P450 1A1
Chrysoeriol 7-(2''-glucuronylglucuronide)	inhibits	Cytochrome P450 1A1
Chrysoeriol 7-disulfoglucoside	inhibits	Cytochrome P450 1A1
Chrysoeriol 7-triglucuronide	inhibits	Cytochrome P450 1A1
Chrysoeriol	inhibits	Cytochrome P450 1B1
Chrysoeriol 7-(2''-glucuronylglucuronide)	inhibits	Cytochrome P450 1B1
Chrysoeriol 7-disulfoglucoside	inhibits	Cytochrome P450 1B1
Chrysoeriol 7-triglucuronide	inhibits	Cytochrome P450 1B1
3,4',7-Trihydroxyflavone	inhibits	Cytochrome P450 2C9
Acacetin	inhibits	Cytochrome P450 1B1
Acacetin 7-diglucoside	inhibits	Cytochrome P450 1B1
Acacetin	inhibits	Cytochrome P450 1A1
Acacetin 7-diglucoside	inhibits	Cytochrome P450 1A1
Acacetin	inhibits	Cytochrome P450 1A2
Acacetin 7-diglucoside	inhibits	Cytochrome P450 1A2
Acacetin	inhibits	Cytochrome P450 2C19
Acacetin 7-diglucoside	inhibits	Cytochrome P450 2C19
Acacetin	inhibits	Cytochrome P450 3A4
Acacetin 7-diglucoside	inhibits	Cytochrome P450 3A4
Acacetin	inhibits	Cytochrome P450 2C9
Acacetin 7-diglucoside	inhibits	Cytochrome P450 2C9
Apigenin 7-O-beta-D-rutinoside	inhibits	Solute carrier organic anion transporter family member 1B1
Rhoifolin	inhibits	Solute carrier organic anion transporter family member 1B1
Apigenin 7-O-beta-D-rutinoside	inhibits	Solute carrier organic anion transporter family member 1B3
Rhoifolin	inhibits	Solute carrier organic anion transporter family member 1B3
Carnosin 44A	inhibits	Solute carrier organic anion transporter family member 1B3
Formononetin	inhibits	Cytochrome P450 2C19
Formononetin	inhibits	Cytochrome P450 2D6
Formononetin	inhibits	Cytochrome P450 2C9
Formononetin	inhibits	Solute carrier organic anion transporter family member 1B1
Formononetin	inhibits	Solute carrier organic anion transporter family member 1B3
Formononetin	inhibits	Cytochrome P450 1B1
Phlorizin	inhibits	Solute carrier organic anion transporter family member 1B3
Phlorizin	inhibits	Solute carrier organic anion transporter family member 1B1
Gentisic acid	inhibits	Solute carrier organic anion transporter family member 1B1
Gentisic acid	inhibits	Solute carrier organic anion transporter family member 1B3
Bergaptol	inhibits	Cytochrome P450 3A4
6''-(4-Hydroxycinnamoyl)astragalin	inhibits	Cytochrome P450 3A4
Kaempferol 3-(p-coumaroyl-glucoside)	inhibits	Cytochrome P450 3A4
3-(Dimethylaminomethyl)indole	inhibits	Cytochrome P450 2D6
3-(Dimethylaminomethyl)indole	inhibits	Cytochrome P450 3A4
Esterase	inhibits	Solute carrier organic anion transporter family member 1B3
Esterase	inhibits	Solute carrier organic anion transporter family member 1B1
Tomatine	inhibits	Solute carrier organic anion transporter family member 1B3
Tomatine	inhibits	Solute carrier organic anion transporter family member 1B1
Phospholipase	inhibits	Cytochrome P450 2C19
Pimpinellidine	inhibits	Cytochrome P450 3A4
Pimpinellidine	inhibits	Solute carrier organic anion transporter family member 1B3
Pimpinellidine	inhibits	Solute carrier organic anion transporter family member 1B1
17-beta-Estradiol glucuronide	inhibits	Solute carrier organic anion transporter family member 1B1
17-beta-Estradiol glucuronide	inhibits	Solute carrier organic anion transporter family member 1B3
Acetyl-L-carnitine	inhibits	Solute carrier organic anion transporter family member 1B3
Acetyl-L-carnitine	inhibits	Solute carrier organic anion transporter family member 1B1
C.I. Acid Green 50	inhibits	Cytochrome P450 3A4
C.I. Acid Green 50	inhibits	Cytochrome P450 2D6
C.I. Acid Green 50	inhibits	Cytochrome P450 2C9
LAPATINIB DITOSYLATE	inhibits	Receptor tyrosine-protein kinase erbB-2
NILOTINIB HYDROCHLORIDE MONOHYDRATE	inhibits	Tyrosine-protein kinase ABL1
DASATINIB ANHYDROUS	inhibits	Tyrosine-protein kinase ABL1
BOSUTINIB	inhibits	Tyrosine-protein kinase ABL1
REGORAFENIB	inhibits	Tyrosine-protein kinase ABL1
IMATINIB MESYLATE	inhibits	Tyrosine-protein kinase ABL1
REGORAFENIB	inhibits	RAF proto-oncogene serine/threonine-protein kinase
SORAFENIB TOSYLATE	inhibits	RAF proto-oncogene serine/threonine-protein kinase
SORAFENIB TOSYLATE	inhibits	Receptor-type tyrosine-protein kinase FLT3
SUNITINIB MALATE	inhibits	Receptor-type tyrosine-protein kinase FLT3
BOSUTINIB	inhibits	Proto-oncogene tyrosine-protein kinase Src
VANDETANIB	inhibits	Proto-oncogene tyrosine-protein kinase Src
PAZOPANIB HYDROCHLORIDE	inhibits	Tyrosine-protein kinase Lck
BOSUTINIB	inhibits	Tyrosine-protein kinase HCK
RUXOLITINIB PHOSPHATE	inhibits	Tyrosine-protein kinase JAK1
TRAMETINIB DIMETHYL SULFOXIDE	inhibits	Dual specificity mitogen-activated protein kinase kinase 2
RUXOLITINIB PHOSPHATE	inhibits	Tyrosine-protein kinase JAK2
BOSUTINIB	inhibits	Tyrosine-protein kinase Lyn
TRAMETINIB DIMETHYL SULFOXIDE	inhibits	Dual specificity mitogen-activated protein kinase kinase 1
REGORAFENIB	inhibits	Mitogen-activated protein kinase 11
PEMETREXED DISODIUM	inhibits	Trifunctional purine biosynthetic protein adenosine-3
REGORAFENIB	inhibits	Tyrosine-protein kinase FRK
DABRAFENIB MESYLATE	inhibits	Serine/threonine-protein kinase B-raf
REGORAFENIB	inhibits	Serine/threonine-protein kinase B-raf
SORAFENIB TOSYLATE	inhibits	Serine/threonine-protein kinase B-raf
VEMURAFENIB	inhibits	Serine/threonine-protein kinase B-raf
PONATINIB HYDROCHLORIDE	inhibits	Bcr/Abl fusion protein
DIMETHYL FUMARATE	inhibits	Kelch-like ECH-associated protein 1
MITOTANE	inhibits	Cytochrome P450 11B1, mitochondrial
LOMITAPIDE MESYLATE	inhibits	Microsomal triglyceride transfer protein
REGORAFENIB	inhibits	Proto-oncogene tyrosine-protein kinase receptor Ret
SORAFENIB TOSYLATE	inhibits	Proto-oncogene tyrosine-protein kinase receptor Ret
SUNITINIB MALATE	inhibits	Proto-oncogene tyrosine-protein kinase receptor Ret
VANDETANIB	inhibits	Proto-oncogene tyrosine-protein kinase receptor Ret
PAZOPANIB HYDROCHLORIDE	inhibits	Tyrosine-protein kinase ITK/TSK
IBRUTINIB	inhibits	Tyrosine-protein kinase BTK
AFATINIB DIMALEATE	inhibits	Receptor tyrosine-protein kinase erbB-2
AFATINIB DIMALEATE	inhibits	Receptor tyrosine-protein kinase erbB-4
COBIMETINIB FUMARATE	inhibits	Dual specificity mitogen-activated protein kinase kinase 1
