lgn_id,lgn_name,hkg_name,in_mech_kge
629,Inavolisib,Inavolisib,True
630,Indapamide,Indapamide,True
631,Indinavir,Indinavir,True
632,Indium In-111 chloride,,False
633,Indium In-111 pentetreotide,,False
634,Indomethacin,Indomethacin,True
635,Infigratinib,Infigratinib,True
636,Ingenol mebutate,Ingenol mebutate,True
637,Inotersen,Inotersen,True
638,Insulin aspart,Insulin aspart,True
639,Insulin degludec,Insulin degludec,True
640,Insulin detemir,Insulin detemir,True
641,Insulin glulisine,Insulin glulisine,True
642,Insulin human,Insulin human,True
643,Insulin icodec,Insulin icodec,True
644,Insulin pork,Insulin pork,True
645,Interferon alfa-2a,Interferon alfa-2a,True
646,Interferon alfa-2b,Interferon alfa-2b,True
647,Interferon alfa-n1,Interferon alfa-n1,True
648,Interferon beta-1a,Interferon beta-1a,True
649,Interferon beta-1b,Interferon beta-1b,True
650,Interferon gamma-1b,Interferon gamma-1b,True
651,Iodide I-123,,False
652,Iodide I-131,,False
653,Iodine,Iodine,True
654,Ioflupane I-123,Ioflupane I-123,True
655,Iothalamic acid,,False
656,Ioxaglic acid,,False
657,Irbesartan,Irbesartan,True
658,Iron,Iron,True
659,Iron sucrose,,False
660,Isavuconazole,Isavuconazole,True
661,Isavuconazonium,Isavuconazonium,True
662,Isocarboxazid,Isocarboxazid,True
663,Isoniazid,Isoniazid,True
664,Isosorbide dinitrate,Isosorbide dinitrate,True
665,Isosorbide mononitrate,Isosorbide mononitrate,True
666,Isotretinoin,Isotretinoin,True
667,Isradipine,Isradipine,True
668,Istradefylline,Istradefylline,True
669,Itraconazole,Itraconazole,True
670,Ivabradine,Ivabradine,True
671,Ivacaftor,Ivacaftor,True
672,Ivermectin,Ivermectin,True
673,Ivosidenib,Ivosidenib,True
674,Ixabepilone,Ixabepilone,True
675,Ixazomib,Ixazomib,True
676,Ketamine,Ketamine,True
677,Ketazolam,Ketazolam,True
678,Ketoconazole,Ketoconazole,True
679,Ketoprofen,Ketoprofen,True
680,Ketorolac,Ketorolac,True
681,Ketotifen,Ketotifen,True
682,L-Acetylleucine,L-Acetylleucine,True
683,L-Glutamine,L-Glutamine,True
684,Labetalol,Labetalol,True
685,Lacosamide,Lacosamide,True
686,Lactitol,,False
687,Lactulose,Lactulose,True
688,Lamivudine,Lamivudine,True
689,Lamotrigine,Lamotrigine,True
690,Lansoprazole,Lansoprazole,True
691,Lanthanum carbonate,,False
692,Lapatinib,Lapatinib,True
693,Larotrectinib,Larotrectinib,True
694,Lasmiditan,Lasmiditan,True
695,Lazertinib,Lazertinib,True
696,Ledipasvir,Ledipasvir,True
697,Lefamulin,Lefamulin,True
698,Leflunomide,Leflunomide,True
699,Lemborexant,Lemborexant,True
700,Lenacapavir,Lenacapavir,True
701,Lenalidomide,Lenalidomide,True
702,Leniolisib,Leniolisib,True
703,Lenvatinib,Lenvatinib,True
704,Lepirudin,Lepirudin,True
705,Lercanidipine,Lercanidipine,True
706,Lesinurad,Lesinurad,True
707,Letaxaban,Letaxaban,True
708,Letermovir,Letermovir,True
709,Letrozole,Letrozole,True
710,Levamisole,Levamisole,True
711,Levamlodipine,Levamlodipine,True
712,Levetiracetam,Levetiracetam,True
713,Levocarnitine,Levocarnitine,True
714,Levocetirizine,Levocetirizine,True
715,Levodopa,Levodopa,True
716,Levofloxacin,Levofloxacin,True
717,Levoketoconazole,Levoketoconazole,True
718,Levomefolic acid,Levomefolic acid,True
719,Levomilnacipran,Levomilnacipran,True
720,Levonorgestrel,Levonorgestrel,True
721,Levorphanol,Levorphanol,True
722,Levothyroxine,Levothyroxine,True
723,Linaclotide,Linaclotide,True
724,Linagliptin,Linagliptin,True
725,Lindane,Lindane,True
726,Linezolid,Linezolid,True
