head	relation	tail
Adenosine	activates	ADORA2A
Clozapine	activates	CHRM4
Tegaserod	activates	HTR4
Obeticholic acid	activates	NR1H4
Misoprostol	activates	PTGER1
Pergolide	activates	ADRA1B
Tapentadol	activates	OPRD1
Flutamide	activates	AHR
Apomorphine	activates	HTR2A
Pramlintide	activates	RAMP2
Oxycodone	activates	OPRD1
Cabergoline	activates	DRD4
Dextropropoxyphene	activates	OPRM1
Naratriptan	activates	HTR1B
Apomorphine	activates	HTR2B
Dordaviprone	activates	CLPP
Erlotinib	activates	NR1I2
Eletriptan	activates	HTR1F
Imiquimod	activates	TLR7
Triflusal	activates	NOS2
Dextromethorphan	activates	OPRD1
Varenicline	activates	CHRNA7
Linaclotide	activates	GUCY2C
Pimavanserin	activates	HTR2A
Pentazocine	activates	SIGMAR1
Ondansetron	activates	HTR4
Pilocarpine	activates	CHRM1
Progesterone	activates	NR3C1
Prednisolone acetate	activates	NR3C2
Eluxadoline	activates	OPRK1
Dexamethasone	activates	NR3C1
Ardeparin	activates	SERPIND1
Racepinephrine	activates	ADRA1A
Ursodeoxycholic acid	activates	SLC23A2
Phenytoin	activates	NR1I2
Lumateperone	activates	DRD1
Methacholine	activates	CHRM5
Estradiol valerate	activates	NR1I2
Adenosine	activates	ADORA3
Amisulpride	activates	OPRD1
Oxycodone	activates	OPRM1
Mifepristone	activates	NR1I2
Prednisolone	activates	NR3C2
Progesterone	activates	OPRK1
Pseudoephedrine	activates	ADRB2
Abaloparatide	activates	PTH1R
Glipizide	activates	PPARG
Fenofibric acid	activates	PPARA
Samidorphan	activates	OPRD1
Acetaminophen	activates	TRPV1
Segesterone acetate	activates	NR3C1
Conjugated estrogens	activates	ESR2
Ergotamine	activates	HTR1D
Alitretinoin	activates	CRABP1
Droxidopa	activates	ADRA1D
Tramadol	activates	OPRM1
Cabergoline	activates	HTR1B
Cannabidiol	activates	TRPV3
Acitretin	activates	RXRA
Insulin glulisine	activates	INSR
Levamisole	activates	unc-29
Estrone sulfate	activates	ESR2
Ospemifene	activates	ESR1
Ergotamine	activates	ADRA1B
Gemfibrozil	activates	PPARA
Liothyronine	activates	THRB
Remifentanil	activates	OPRK1
Amitriptyline	activates	SIGMAR1
Levodopa	activates	DRD1
Diphenoxylate	activates	OPRM1
Tianeptine	activates	OPRM1
Nicotine	activates	CHRNB3
Adenosine	activates	ADORA1
Phendimetrazine	activates	ADRA1A
Sulfasalazine	activates	RELA
Levamisole	activates	unc-38
Zolmitriptan	activates	HTR7
Paricalcitol	activates	VDR
Valproic acid	activates	PPARG
Xanomeline	activates	CHRM3
Tretinoin	activates	RARB
Lasmiditan	activates	HTR1F
