new_id,name,smiles
334,Spinacia Oleracea,
335,Spirafolide,CC1=COC=CC2(C1C3C(CC2)C(=C)C(=O)O3)C
336,Spirodela Polyrhiza,
340,Sucrose,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
341,Sucrose Fatty Acid Ester,
342,Syzygium Aqueum,
343,Syzygium Aromaticum,
345,Taraxacum Platycarpum,
348,Terminalia Belerica,
349,Tf(Ic*As)*483/13,
350,Thiamine,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
351,Thiamine Pyrophosphate,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)[O-]
353,Tormentillae,
354,Tremella Fuciformis,
355,Tribulus Terrestris,CN(CC(=O)O)C(=N)N.C(C(C(C(C(C(=O)O)O)O)O)O)O
356,Trifolium Pratense,
357,Trigonelline,C[N+]1=CC=CC(=C1)C(=O)[O-]
358,Tristemma Hirtum,
359,Triticum Sativum,
360,Trolox,CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C
361,U. Dioica,
362,Uapaca Guineensis,
363,Umbelliferae,C1=CC(=CC2=C1C=CC(=O)O2)O
364,Urtica,
368,Vco,CCOC(=O)C(=C1CCC=CCN1)C#N
370,Vegetol Red Grapevin,
372,Vitamin B6,CC1=C(C(=NC=C1COP(=O)([O-])[O-])C)O
373,Vitamin D3,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
378,Wpi,
380,Yogurt Bacteria,
381,Zhi-Xiong,
382,Npc209773,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
383,(+-)-Trimeprazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C
384,2-Amino-5-Phenyl4(5H)-Oxazolone,C1=CC=C(C=C1)C2C(=O)NC(=N)O2
385,Deutetrabenazine (Usan/Inn),CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC
386,"(2R,4S)-Ketoconazole",CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
387,"Med.21724, Compound Benztropine",CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
388,"(1R,2S)-Tranylcypromine",C1C(C1N)C2=CC=CC=C2
389,Magaldrate (Usan:Usp:Inn:Ban),[OH-].[O-]S(=O)(=O)[O-].[Mg+2].[Al+3]
