head,relation,tail,weight,source,head_type,tail_type
"(2E,6E)-Farnesol",inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Farnesol,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Choline chloride,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Choline chloride,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Finasteride,inhibits,Cytochrome P450 3A4,1.0,chembl36,COMPOUND,TARGET
Finasteride,inhibits,Cytochrome P450 2C19,1.0,chembl36,COMPOUND,TARGET
Finasteride,inhibits,Cytochrome P450 2C9,1.0,chembl36,COMPOUND,TARGET
Dimethyl sulfone,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Dimethyl sulfone,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Olanzapine,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Ethylenediaminetetraacetic acid,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Ethylenediaminetetraacetic acid,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Berberine,inhibits,Cytochrome P450 2D6,1.0,chembl36,COMPOUND,TARGET
Berberine,inhibits,Cytochrome P450 1B1,1.0,chembl36,COMPOUND,TARGET
Valdecoxib,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Valdecoxib,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
Guaifenesin,inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
Guaifenesin,inhibits,Solute carrier organic anion transporter family member 1B1,1.0,chembl36,COMPOUND,TARGET
"3,4-Dimethoxybenzoic acid",inhibits,Solute carrier organic anion transporter family member 1B3,1.0,chembl36,COMPOUND,TARGET
