head,relation,tail,weight,source,head_type,tail_type
L-Glutamine,substrate_of,TGM4,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,TGM3,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,TGM7,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,GMPS,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,ASNS,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,KYAT1,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,PFAS,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,GATB,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,GFPT2,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,CAD,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,QARS1,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,NADSYN1,1.0,drugbank,DRUG,TARGET
L-Glutamine,inhibits,CTPS1,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,CTPS1,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,PPAT,1.0,drugbank,DRUG,TARGET
L-Glutamine,binds,GLUL,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC38A1,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC38A2,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC38A3,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC1A5,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC6A14,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC7A7,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC7A6,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC7A5,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC7A8,1.0,drugbank,DRUG,TARGET
L-Glutamine,substrate_of,SLC7A9,1.0,drugbank,DRUG,TARGET
L-Glutamine,inhibits,SLC16A10,1.0,drugbank,DRUG,TARGET
Methionine,substrate_of,MAT2A,1.0,drugbank,DRUG,TARGET
Methionine,substrate_of,MSRB2,1.0,drugbank,DRUG,TARGET
Methionine,substrate_of,MAT1A,1.0,drugbank,DRUG,TARGET
Methionine,substrate_of,MSRB1,1.0,drugbank,DRUG,TARGET
Methionine,substrate_of,MSRA,1.0,drugbank,DRUG,TARGET
Methionine,substrate_of,MARS1,1.0,drugbank,DRUG,TARGET
Methionine,substrate_of,MARS2,1.0,drugbank,DRUG,TARGET
